Ra, Rb
0.000000, 0.000000
0.004216, 0.010267
0.008432, 0.014519
0.012649, 0.017782
0.016865, 0.020533
0.021081, 0.022957
0.025297, 0.025148
0.029513, 0.027163
0.033730, 0.029039
0.037946, 0.030800
0.042162, 0.032466
0.046378, 0.034051
0.050595, 0.035565
0.054811, 0.037017
0.059027, 0.038414
0.063243, 0.039763
0.067459, 0.041067
0.071676, 0.042331
0.075892, 0.043558
0.080108, 0.044752
0.084324, 0.045914
0.088540, 0.047048
0.092757, 0.048155
0.096973, 0.049237
0.101189, 0.050296
0.105405, 0.051334
0.109621, 0.052350
0.113838, 0.053347
0.118054, 0.054326
0.122270, 0.055288
0.126486, 0.056233
0.130703, 0.057163
0.134919, 0.058077
0.139135, 0.058978
0.143351, 0.059865
0.147567, 0.060739
0.151784, 0.061600
0.156000, 0.062450
0.160216, 0.063288
0.164432, 0.064116
0.168648, 0.064932
0.172865, 0.065739
0.177081, 0.066536
0.181297, 0.067323
0.185513, 0.068102
0.189729, 0.068871
0.193946, 0.069632
0.198162, 0.070385
0.202378, 0.071130
0.206594, 0.071867
0.210810, 0.072597
0.215027, 0.073319
0.219243, 0.074034
0.223459, 0.074743
0.227675, 0.075445
0.231892, 0.076140
0.236108, 0.076829
0.240324, 0.077512
0.244540, 0.078189
0.248756, 0.078860
0.252973, 0.079526
0.257189, 0.080186
0.261405, 0.080840
0.265621, 0.081489
0.269837, 0.082134
0.274054, 0.082773
0.278270, 0.083407
0.282486, 0.084037
0.286702, 0.084661
0.290918, 0.085282
0.295135, 0.085897
0.299351, 0.086509
0.303567, 0.087116
0.307783, 0.087719
0.312000, 0.088318
0.316216, 0.088912
0.320432, 0.089503
0.324648, 0.090090
0.328864, 0.090673
0.333081, 0.091252
0.337297, 0.091828
0.341513, 0.092400
0.345729, 0.092969
0.349945, 0.093534
0.354162, 0.094096
0.358378, 0.094654
0.362594, 0.095210
0.366810, 0.095761
0.371026, 0.096310
0.375243, 0.096856
0.379459, 0.097399
0.383675, 0.097938
0.387891, 0.098475
0.392108, 0.099009
0.396324, 0.099539
0.400540, 0.100067
0.404756, 0.100593
0.408972, 0.101115
0.413189, 0.101635
0.417405, 0.102152
0.421621, 0.102667
0.425837, 0.103179
0.430053, 0.103689
0.434270, 0.104196
0.438486, 0.104700
0.442702, 0.105202
0.446918, 0.105702
0.451134, 0.106200
0.455351, 0.106695
0.459567, 0.107188
0.463783, 0.107678
0.467999, 0.108166
0.472216, 0.108653
0.476432, 0.109137
0.480648, 0.109618
0.484864, 0.110098
0.489080, 0.110576
0.493297, 0.111051
0.497513, 0.111525
0.501729, 0.111997
0.505945, 0.112466
0.510161, 0.112934
0.514378, 0.113399
0.518594, 0.113863
0.522810, 0.114325
0.527026, 0.114785
0.531242, 0.115243
0.535459, 0.115700
0.539675, 0.116155
0.543891, 0.116607
0.548107, 0.117058
0.552323, 0.117508
0.556540, 0.117955
0.560756, 0.118401
0.564972, 0.118846
0.569188, 0.119288
0.573405, 0.119729
0.577621, 0.120169
0.581837, 0.120606
0.586053, 0.121043
0.590269, 0.121477
0.594486, 0.121910
0.598702, 0.122342
0.602918, 0.122772
0.607134, 0.123200
0.611350, 0.123628
0.615567, 0.124053
0.619783, 0.124477
0.623999, 0.124900
0.628215, 0.125321
0.632431, 0.125741
0.636648, 0.126159
0.640864, 0.126576
0.645080, 0.126992
0.649296, 0.127406
0.653513, 0.127819
0.657729, 0.128231
0.661945, 0.128641
0.666161, 0.129050
0.670377, 0.129458
0.674594, 0.129865
0.678810, 0.130270
0.683026, 0.130674
0.687242, 0.131077
0.691458, 0.131478
0.695675, 0.131878
0.699891, 0.132277
0.704107, 0.132675
0.708323, 0.133072
0.712539, 0.133467
0.716756, 0.133861
0.720972, 0.134255
0.725188, 0.134647
0.729404, 0.135037
0.733621, 0.135427
0.737837, 0.135816
0.742053, 0.136203
0.746269, 0.136590
0.750485, 0.136975
0.754702, 0.137359
0.758918, 0.137742
0.763134, 0.138124
0.767350, 0.138505
0.771566, 0.138885
0.775783, 0.139264
0.779999, 0.139642
0.784215, 0.140019
0.788431, 0.140395
0.792647, 0.140770
0.796864, 0.141144
0.801080, 0.141517
0.805296, 0.141889
0.809512, 0.142260
0.813728, 0.142630
0.817945, 0.142999
0.822161, 0.143367
0.826377, 0.143734
0.830593, 0.144100
0.834810, 0.144465
0.839026, 0.144830
0.843242, 0.145193
0.847458, 0.145556
0.851674, 0.145917
0.855891, 0.146278
0.860107, 0.146638
0.864323, 0.146997
0.868539, 0.147355
0.872755, 0.147712
0.876972, 0.148069
0.881188, 0.148424
0.885404, 0.148779
0.889620, 0.149133
0.893836, 0.149485
0.898053, 0.149838
0.902269, 0.150189
0.906485, 0.150539
0.910701, 0.150889
0.914918, 0.151238
0.919134, 0.151586
0.923350, 0.151933
0.927566, 0.152280
0.931782, 0.152626
0.935999, 0.152970
0.940215, 0.153315
0.944431, 0.153658
0.948647, 0.154001
0.952863, 0.154342
0.957080, 0.154684
0.961296, 0.155024
0.965512, 0.155363
0.969728, 0.155702
0.973944, 0.156040
0.978161, 0.156378
0.982377, 0.156714
0.986593, 0.157050
0.990809, 0.157386
0.995026, 0.157720
0.999242, 0.158054
1.003458, 0.158387
1.007674, 0.158719
1.011890, 0.159051
1.016107, 0.159382
1.020323, 0.159712
1.024539, 0.160042
1.028755, 0.160371
1.032971, 0.160699
1.037188, 0.161027
1.041404, 0.161354
1.045620, 0.161680
1.049836, 0.162006
1.054052, 0.162331
1.058269, 0.162655
1.062485, 0.162979
1.066701, 0.163302
1.070917, 0.163624
1.075134, 0.163946
1.079350, 0.164267
1.083566, 0.164588
1.087782, 0.164908
1.091998, 0.165227
1.096215, 0.165546
1.100431, 0.165864
1.104647, 0.166181
1.108863, 0.166498
1.113079, 0.166814
1.117296, 0.167130
1.121512, 0.167445
1.125728, 0.167759
1.129944, 0.168073
1.134160, 0.168386
1.138377, 0.168699
1.142593, 0.169011
1.146809, 0.169323
1.151025, 0.169634
1.155241, 0.169944
1.159458, 0.170254
1.163674, 0.170563
1.167890, 0.170872
1.172106, 0.171180
1.176323, 0.171488
1.180539, 0.171795
1.184755, 0.172101
1.188971, 0.172407
1.193187, 0.172713
1.197404, 0.173018
1.201620, 0.173322
1.205836, 0.173626
1.210052, 0.173929
1.214268, 0.174232
1.218485, 0.174534
1.222701, 0.174836
1.226917, 0.175137
1.231133, 0.175438
1.235349, 0.175738
1.239566, 0.176037
1.243782, 0.176336
1.247998, 0.176635
1.252214, 0.176933
1.256431, 0.177231
1.260647, 0.177528
1.264863, 0.177825
1.269079, 0.178121
1.273295, 0.178416
1.277512, 0.178711
1.281728, 0.179006
1.285944, 0.179300
1.290160, 0.179594
1.294376, 0.179887
1.298593, 0.180180
1.302809, 0.180472
1.307025, 0.180764
1.311241, 0.181055
1.315457, 0.181346
1.319674, 0.181637
1.323890, 0.181926
1.328106, 0.182216
1.332322, 0.182505
1.336539, 0.182793
1.340755, 0.183082
1.344971, 0.183369
1.349187, 0.183656
1.353403, 0.183943
1.357620, 0.184229
1.361836, 0.184515
1.366052, 0.184801
1.370268, 0.185086
1.374484, 0.185370
1.378701, 0.185654
1.382917, 0.185938
1.387133, 0.186221
1.391349, 0.186504
1.395565, 0.186786
1.399782, 0.187068
1.403998, 0.187350
1.408214, 0.187631
1.412430, 0.187912
1.416647, 0.188192
1.420863, 0.188472
1.425079, 0.188751
1.429295, 0.189030
1.433511, 0.189309
1.437728, 0.189587
1.441944, 0.189865
1.446160, 0.190142
1.450376, 0.190419
1.454592, 0.190696
1.458809, 0.190972
1.463025, 0.191248
1.467241, 0.191523
1.471457, 0.191798
1.475673, 0.192072
1.479890, 0.192347
1.484106, 0.192620
1.488322, 0.192894
1.492538, 0.193167
1.496754, 0.193440
1.500971, 0.193712
1.505187, 0.193984
1.509403, 0.194255
1.513619, 0.194526
1.517836, 0.194797
1.522052, 0.195067
1.526268, 0.195337
1.530484, 0.195607
1.534700, 0.195876
1.538917, 0.196145
1.543133, 0.196414
1.547349, 0.196682
1.551565, 0.196950
1.555781, 0.197217
1.559998, 0.197484
1.564214, 0.197751
1.568430, 0.198017
1.572646, 0.198283
1.576862, 0.198549
1.581079, 0.198814
1.585295, 0.199079
1.589511, 0.199343
1.593727, 0.199608
1.597944, 0.199871
1.602160, 0.200135
1.606376, 0.200398
1.610592, 0.200661
1.614808, 0.200923
1.619025, 0.201186
1.623241, 0.201447
1.627457, 0.201709
1.631673, 0.201970
1.635889, 0.202231
1.640106, 0.202491
1.644322, 0.202751
1.648538, 0.203011
1.652754, 0.203270
1.656970, 0.203530
1.661187, 0.203788
1.665403, 0.204047
1.669619, 0.204305
1.673835, 0.204563
1.678052, 0.204820
1.682268, 0.205077
1.686484, 0.205334
1.690700, 0.205591
1.694916, 0.205847
1.699133, 0.206103
1.703349, 0.206358
1.707565, 0.206613
1.711781, 0.206868
1.715997, 0.207123
1.720214, 0.207377
1.724430, 0.207631
1.728646, 0.207885
1.732862, 0.208138
1.737078, 0.208391
1.741295, 0.208644
1.745511, 0.208897
1.749727, 0.209149
1.753943, 0.209401
1.758159, 0.209652
1.762376, 0.209903
1.766592, 0.210154
1.770808, 0.210405
1.775024, 0.210655
1.779241, 0.210905
1.783457, 0.211155
1.787673, 0.211404
1.791889, 0.211654
1.796105, 0.211902
1.800322, 0.212151
1.804538, 0.212399
1.808754, 0.212647
1.812970, 0.212895
1.817186, 0.213142
1.821403, 0.213389
1.825619, 0.213636
1.829835, 0.213883
1.834051, 0.214129
1.838267, 0.214375
1.842484, 0.214621
1.846700, 0.214866
1.850916, 0.215111
1.855132, 0.215356
1.859349, 0.215601
1.863565, 0.215845
1.867781, 0.216089
1.871997, 0.216333
1.876213, 0.216576
1.880430, 0.216820
1.884646, 0.217063
1.888862, 0.217305
1.893078, 0.217548
1.897294, 0.217790
1.901511, 0.218032
1.905727, 0.218273
1.909943, 0.218514
1.914159, 0.218756
1.918375, 0.218996
1.922592, 0.219237
1.926808, 0.219477
1.931024, 0.219717
1.935240, 0.219957
1.939457, 0.220196
1.943673, 0.220436
1.947889, 0.220674
1.952105, 0.220913
1.956321, 0.221152
1.960538, 0.221390
1.964754, 0.221628
1.968970, 0.221865
1.973186, 0.222103
1.977402, 0.222340
1.981619, 0.222577
1.985835, 0.222814
1.990051, 0.223050
1.994267, 0.223286
1.998483, 0.223522
2.002700, 0.223758
2.006916, 0.223993
2.011132, 0.224228
2.015348, 0.224463
2.019565, 0.224698
2.023781, 0.224932
2.027997, 0.225166
2.032213, 0.225400
2.036429, 0.225634
2.040646, 0.225868
2.044862, 0.226101
2.049078, 0.226334
2.053294, 0.226566
2.057510, 0.226799
2.061727, 0.227031
2.065943, 0.227263
2.070159, 0.227495
2.074375, 0.227727
2.078591, 0.227958
2.082808, 0.228189
2.087024, 0.228420
2.091240, 0.228650
2.095456, 0.228881
2.099672, 0.229111
2.103889, 0.229341
2.108105, 0.229571
2.112321, 0.229800
2.116537, 0.230029
2.120754, 0.230258
2.124970, 0.230487
2.129186, 0.230716
2.133402, 0.230944
2.137618, 0.231172
2.141835, 0.231400
2.146051, 0.231627
2.150267, 0.231855
2.154483, 0.232082
2.158699, 0.232309
2.162916, 0.232536
2.167132, 0.232762
2.171348, 0.232989
2.175564, 0.233215
2.179780, 0.233441
2.183997, 0.233666
2.188213, 0.233892
2.192429, 0.234117
2.196645, 0.234342
2.200862, 0.234567
2.205078, 0.234791
2.209294, 0.235016
2.213510, 0.235240
2.217726, 0.235464
2.221943, 0.235687
2.226159, 0.235911
2.230375, 0.236134
2.234591, 0.236357
2.238807, 0.236580
2.243024, 0.236803
2.247240, 0.237025
2.251456, 0.237248
2.255672, 0.237470
2.259888, 0.237691
2.264105, 0.237913
2.268321, 0.238134
2.272537, 0.238356
2.276753, 0.238577
2.280970, 0.238797
2.285186, 0.239018
2.289402, 0.239238
2.293618, 0.239459
2.297834, 0.239679
2.302051, 0.239898
2.306267, 0.240118
2.310483, 0.240337
2.314699, 0.240557
2.318915, 0.240776
2.323132, 0.240994
2.327348, 0.241213
2.331564, 0.241431
