Ra, Rb
0.000000, 0.000000
0.001455, 0.006031
0.002910, 0.008530
0.004365, 0.010447
0.005821, 0.012063
0.007276, 0.013487
0.008731, 0.014774
0.010186, 0.015958
0.011641, 0.017060
0.013096, 0.018094
0.014551, 0.019073
0.016006, 0.020004
0.017462, 0.020894
0.018917, 0.021747
0.020372, 0.022568
0.021827, 0.023360
0.023282, 0.024126
0.024737, 0.024868
0.026192, 0.025589
0.027648, 0.026290
0.029103, 0.026973
0.030558, 0.027640
0.032013, 0.028290
0.033468, 0.028926
0.034923, 0.029548
0.036378, 0.030157
0.037834, 0.030754
0.039289, 0.031340
0.040744, 0.031915
0.042199, 0.032480
0.043654, 0.033036
0.045109, 0.033582
0.046564, 0.034119
0.048019, 0.034648
0.049475, 0.035169
0.050930, 0.035683
0.052385, 0.036189
0.053840, 0.036688
0.055295, 0.037180
0.056750, 0.037666
0.058205, 0.038146
0.059661, 0.038620
0.061116, 0.039088
0.062571, 0.039551
0.064026, 0.040008
0.065481, 0.040460
0.066936, 0.040907
0.068391, 0.041350
0.069846, 0.041787
0.071302, 0.042220
0.072757, 0.042649
0.074212, 0.043073
0.075667, 0.043493
0.077122, 0.043910
0.078577, 0.044322
0.080032, 0.044730
0.081488, 0.045135
0.082943, 0.045536
0.084398, 0.045934
0.085853, 0.046328
0.087308, 0.046719
0.088763, 0.047107
0.090218, 0.047492
0.091673, 0.047873
0.093129, 0.048252
0.094584, 0.048627
0.096039, 0.049000
0.097494, 0.049370
0.098949, 0.049737
0.100404, 0.050101
0.101859, 0.050463
0.103315, 0.050822
0.104770, 0.051179
0.106225, 0.051533
0.107680, 0.051884
0.109135, 0.052234
0.110590, 0.052581
0.112045, 0.052926
0.113501, 0.053268
0.114956, 0.053609
0.116411, 0.053947
0.117866, 0.054283
0.119321, 0.054617
0.120776, 0.054949
0.122231, 0.055279
0.123686, 0.055607
0.125142, 0.055933
0.126597, 0.056258
0.128052, 0.056580
0.129507, 0.056901
0.130962, 0.057219
0.132417, 0.057536
0.133872, 0.057852
0.135328, 0.058165
0.136783, 0.058477
0.138238, 0.058787
