rx, ry, vx, vy
-1.014189, -4.145116, -0.126774, -0.518140
16.223126, -13.846203, 1.066028, -1.682068
1.127577, 21.964684, 1.020931, 1.374495
-0.654576, 3.388547, 1.099572, 0.352569
-4.296801, -15.346873, -0.446291, -0.162562
-13.958001, 5.881738, -0.500361, -0.511930
2.860349, -28.971180, 0.712030, -2.013772
-9.562573, -3.926822, -1.847359, 0.493130
1.107581, 13.961488, 0.033419, 0.985148
3.525481, -12.978427, -0.412248, -1.011539
-28.004557, 11.579198, -2.174916, 0.646655
7.719935, -4.417898, 0.459042, -0.150727
2.208247, 13.539746, -0.179105, 0.108938
-17.878362, -1.894746, -0.628971, 0.028516
-9.578805, 8.345505, -0.219808, 0.867298
6.645384, 13.297920, -0.648823, 0.330550
2.101733, 8.435283, 0.756243, 2.030712
13.152255, -9.744316, 1.575029, 0.092314
-1.603143, -18.424569, -0.283925, -1.524713
0.411478, -3.300620, 0.398565, -0.153738
-4.643810, 6.649875, 1.046227, 0.448972
18.485462, -2.714570, 1.225873, 0.968439
-12.434650, 8.425790, -1.586748, -0.170141
-0.165075, -4.731800, -0.987584, -1.188999
-9.238411, -19.455587, -1.515048, -1.536301
-2.420828, 1.816563, -0.217600, 1.069572
0.560930, 3.101599, -1.061968, -0.074609
20.299737, 6.623601, 0.784386, 0.066124
11.313363, 13.582275, 0.374621, 0.028335
10.236551, -2.289873, 0.009057, -1.211542
4.035971, 9.144920, -1.111293, 0.708647
15.042850, 13.739984, 2.341554, 0.414515
-20.868543, 9.589027, -0.976857, -0.135797
-18.905477, -12.510773, -0.665426, -0.293669
17.319665, 12.104846, 0.601463, 1.363652
22.683862, 3.169811, 2.106408, -0.614649
-15.600413, 10.702162, -0.945415, 1.438397
11.836209, -10.661594, 0.441504, 0.157201
-0.933621, 3.898075, 0.396296, -0.257524
-0.923953, -19.245637, 0.088270, -0.761762
0.493051, 7.483305, -0.927559, -0.152779
4.790868, -15.676498, 1.450446, -0.484497
1.253796, 3.801833, 1.125946, -0.669009
-3.521870, -13.429671, -0.011961, -1.733805
10.729821, 13.109753, -0.168807, 1.455387
6.864756, -3.854708, 0.032798, -0.477934
-6.138804, -4.001358, -0.140944, -0.277424
10.883693, 3.692095, 1.651450, 0.517294
4.220374, -5.675373, -1.170489, 0.125264
10.735236, 5.992314, 1.129370, -0.665223
6.024005, -9.747239, 1.565935, -0.650576
-17.128744, -8.265166, -0.450318, -0.204895
10.892384, -1.223638, -0.239013, 0.483823
3.475594, 13.553962, -0.749109, 0.093311
9.428245, 2.395589, -0.473513, -0.179232
16.073355, -16.575984, 0.888476, -0.450561
12.350390, -0.131974, 0.634162, 0.236808
-11.242151, -1.050013, 0.013506, 0.313424
-18.708619, 11.829882, -0.693591, -0.177611
-3.905384, -1.564845, 0.599263, 0.755397
7.371045, 10.659708, 0.218585, 1.102081
-3.119598, -3.061915, -0.938510, 0.291825
1.867479, -6.663818, -0.348771, 0.359560
-2.896898, 4.678579, -0.711459, -0.802453
-2.117606, 2.252131, 0.322136, 0.871914
2.955098, 12.532857, -0.708302, 0.717984
5.834615, -4.670938, 0.294148, 0.671463
16.561928, -12.104274, 0.757151, -1.221831
9.728278, 12.631625, -0.054750, 0.384695
-3.052990, 4.975436, -0.543531, 0.334750
-19.257258, -18.298387, -0.729375, -1.711493
-17.495195, -14.814968, -0.787535, -0.288053
1.147508, 6.549660, -0.084416, 0.251185
-4.427382, -13.541347, 0.580217, -0.113792
2.470471, 7.746342, 0.595177, 1.468621
3.313742, -12.082631, -1.117434, -0.407366
-10.311745, 8.509374, 0.346471, 0.825381
8.765993, -7.724996, -0.498403, 0.312123
4.138635, -16.139327, -0.589853, -1.729571
-9.001304, 0.234898, -0.067595, 0.825814
