Ra, Rb
0.000000, 0.000000
0.001388, 0.005890
0.002775, 0.008329
0.004163, 0.010201
0.005550, 0.011780
0.006938, 0.013170
0.008325, 0.014427
0.009713, 0.015583
0.011101, 0.016659
0.012488, 0.017669
0.013876, 0.018625
0.015263, 0.019534
0.016651, 0.020403
0.018038, 0.021236
0.019426, 0.022037
0.020814, 0.022811
0.022201, 0.023559
0.023589, 0.024284
0.024976, 0.024988
0.026364, 0.025673
0.027751, 0.026340
0.029139, 0.026990
0.030527, 0.027625
0.031914, 0.028246
0.033302, 0.028854
0.034689, 0.029449
0.036077, 0.030032
0.037465, 0.030604
0.038852, 0.031166
0.040240, 0.031717
0.041627, 0.032260
0.043015, 0.032793
0.044402, 0.033318
0.045790, 0.033834
0.047178, 0.034343
0.048565, 0.034844
0.049953, 0.035339
0.051340, 0.035826
0.052728, 0.036307
0.054115, 0.036782
0.055503, 0.037250
0.056891, 0.037713
0.058278, 0.038170
0.059666, 0.038622
0.061053, 0.039068
0.062441, 0.039510
0.063828, 0.039946
0.065216, 0.040378
0.066604, 0.040806
0.067991, 0.041228
0.069379, 0.041647
0.070766, 0.042061
0.072154, 0.042472
0.073541, 0.042878
0.074929, 0.043281
0.076317, 0.043680
0.077704, 0.044075
0.079092, 0.044467
0.080479, 0.044855
0.081867, 0.045240
0.083254, 0.045622
0.084642, 0.046001
0.086030, 0.046376
0.087417, 0.046749
0.088805, 0.047118
0.090192, 0.047485
0.091580, 0.047849
0.092967, 0.048210
0.094355, 0.048568
0.095743, 0.048924
0.097130, 0.049277
0.098518, 0.049628
0.099905, 0.049976
0.101293, 0.050322
0.102680, 0.050666
0.104068, 0.051007
0.105456, 0.051346
0.106843, 0.051682
0.108231, 0.052017
0.109618, 0.052349
0.111006, 0.052680
0.112394, 0.053008
0.113781, 0.053334
0.115169, 0.053658
0.116556, 0.053981
0.117944, 0.054301
0.119331, 0.054619
0.120719, 0.054936
0.122107, 0.055251
0.123494, 0.055564
0.124882, 0.055875
0.126269, 0.056185
0.127657, 0.056493
0.129044, 0.056799
0.130432, 0.057103
0.131820, 0.057406
0.133207, 0.057708
0.134595, 0.058007
0.135982, 0.058306
0.137370, 0.058602
0.138757, 0.058898
0.140145, 0.059191
0.141533, 0.059484
0.142920, 0.059775
0.144308, 0.060064
0.145695, 0.060352
0.147083, 0.060639
0.148470, 0.060924
0.149858, 0.061208
0.151246, 0.061491
0.152633, 0.061772
0.154021, 0.062053
0.155408, 0.062331
0.156796, 0.062609
0.158183, 0.062886
0.159571, 0.063161
0.160959, 0.063435
0.162346, 0.063708
0.163734, 0.063979
0.165121, 0.064250
0.166509, 0.064519
0.167896, 0.064787
0.169284, 0.065055
0.170672, 0.065321
0.172059, 0.065586
0.173447, 0.065850
0.174834, 0.066112
0.176222, 0.066374
0.177610, 0.066635
0.178997, 0.066895
0.180385, 0.067154
0.181772, 0.067411
0.183160, 0.067668
0.184547, 0.067924
0.185935, 0.068179
0.187323, 0.068433
0.188710, 0.068686
0.190098, 0.068938
0.191485, 0.069189
0.192873, 0.069439
0.194260, 0.069689
0.195648, 0.069937
0.197036, 0.070185
0.198423, 0.070431
0.199811, 0.070677
0.201198, 0.070922
0.202586, 0.071166
0.203973, 0.071410
0.205361, 0.071652
0.206749, 0.071894
0.208136, 0.072135
0.209524, 0.072375
0.210911, 0.072614
0.212299, 0.072852
0.213686, 0.073090
0.215074, 0.073327
0.216462, 0.073563
0.217849, 0.073799
0.219237, 0.074033
0.220624, 0.074267
0.222012, 0.074500
0.223399, 0.074733
0.224787, 0.074964
0.226175, 0.075196
0.227562, 0.075426
0.228950, 0.075655
0.230337, 0.075884
0.231725, 0.076113
0.233112, 0.076340
0.234500, 0.076567
0.235888, 0.076793
0.237275, 0.077019
0.238663, 0.077244
0.240050, 0.077468
0.241438, 0.077691
0.242825, 0.077914
0.244213, 0.078137
0.245601, 0.078358
0.246988, 0.078579
0.248376, 0.078800
0.249763, 0.079020
0.251151, 0.079239
0.252539, 0.079457
0.253926, 0.079675
0.255314, 0.079893
0.256701, 0.080109
0.258089, 0.080326
0.259476, 0.080541
0.260864, 0.080756
0.262252, 0.080971
0.263639, 0.081185
0.265027, 0.081398
0.266414, 0.081611
0.267802, 0.081823
0.269189, 0.082035
0.270577, 0.082246
0.271965, 0.082457
0.273352, 0.082667
0.274740, 0.082876
0.276127, 0.083085
0.277515, 0.083294
0.278902, 0.083502
0.280290, 0.083709
0.281678, 0.083916
0.283065, 0.084123
0.284453, 0.084329
0.285840, 0.084534
0.287228, 0.084739
0.288615, 0.084943
0.290003, 0.085147
0.291391, 0.085351
0.292778, 0.085554
0.294166, 0.085756
0.295553, 0.085958
0.296941, 0.086160
0.298328, 0.086361
0.299716, 0.086562
0.301104, 0.086762
0.302491, 0.086961
0.303879, 0.087161
0.305266, 0.087359
0.306654, 0.087558
0.308041, 0.087756
0.309429, 0.087953
0.310817, 0.088150
0.312204, 0.088347
0.313592, 0.088543
0.314979, 0.088738
0.316367, 0.088934
