rx, ry, vx, vy
4.359913, -5.136898, 0.484435, -0.570766
3.101017, 6.367520, -0.393050, 0.880308
-11.228585, -6.287554, -0.213067, -0.010039
-6.697015, 5.325398, -1.053420, 1.767224
9.496890, 5.438674, -0.463887, 0.569877
-0.298719, -29.654381, 0.075884, -2.581520
-6.208314, -3.433469, 0.285721, 0.106292
-7.167456, 23.174045, -0.027869, 1.130478
-21.272749, -1.405299, -1.103665, -0.840286
-16.356255, 4.292280, -1.456334, -0.456375
3.209473, 4.978942, -0.117849, -0.193886
2.015872, 5.385320, 2.157749, 0.437124
14.255231, -12.271564, 0.169425, 0.129684
29.930909, 7.900755, 1.791051, 0.299503
11.964140, -5.001512, 1.179981, 0.231096
33.642919, -15.791924, 3.353312, -0.259724
5.608935, -13.098838, 0.460484, -1.366404
-8.830060, 14.642288, -0.095413, 1.149402
-12.830475, -9.069544, 0.064786, -0.499756
-8.130721, -6.535717, -0.251544, -0.145409
3.421592, 14.459864, -0.984844, 0.196404
8.410248, 6.569829, 0.410922, 0.204389
-26.073393, 23.353758, -1.687178, 1.308539
-13.281112, -14.948500, -1.021046, -0.750684
0.522859, -19.211828, -0.201936, -1.252206
-9.082722, 16.306705, 0.362647, 0.582130
-4.818631, -2.054879, -0.935130, -1.082273
-2.590709, 17.657554, 0.392317, 0.742641
5.847063, -5.002973, -0.355249, 0.279886
-19.417781, 28.638358, -0.592172, 1.759502
8.438012, 4.680565, 0.234073, 1.025104
1.135270, -15.390934, -0.586717, -0.593447
-1.496905, -12.182706, 0.467518, -1.435773
25.727581, 6.304876, 1.322090, 1.260755
-6.692921, 2.510121, -0.131355, -0.852157
10.414886, -15.858468, -0.340836, -0.749590
-4.487214, 8.328666, -1.405964, 1.049663
20.434151, -4.042255, 1.362073, -0.998338
-5.403100, -13.695572, -1.020264, -1.500621
-6.997626, 16.416103, -0.135681, 1.029252
-13.130560, 10.069630, -0.292480, 0.223260
12.400785, -8.724083, -0.013522, -0.130650
-9.290355, 5.384745, -0.203280, 0.486821
-4.247724, 12.003577, -0.211453, 0.027866
-13.227485, 3.997943, 0.083542, -0.184623
-1.490445, -0.645413, 0.359264, -0.217726
7.040506, 10.044473, 0.251228, 0.103431
10.158872, -9.197226, 0.246641, 0.078439
-1.792739, -5.309437, -0.094469, -0.215641
-8.425635, 3.107758, -0.329577, 0.034922
-2.929637, -8.321413, 0.398562, 0.042524
1.933252, 1.470492, 0.054047, -0.471135
-6.602946, -6.360355, -0.032561, 0.113900
-13.479634, -4.184326, -0.286140, 0.184094
12.342273, -12.103308, 0.010962, -0.164661
-1.047379, -11.831445, 0.426492, -0.223493
3.983321, -3.582999, 0.125291, 0.057991
2.196961, -4.051911, -0.417389, -0.140012
1.102430, -8.493298, 0.172661, 0.055095
-11.585152, 5.944670, -0.080237, 0.316451
-5.219708, -14.889393, -0.152593, -0.239726
4.512091, -9.762462, 0.343259, 0.475587
7.268163, -1.396547, -0.292442, 0.541441
-0.411963, -3.998766, 0.163185, -0.113437
-0.631654, 3.483781, -0.073898, 0.049468
-7.256881, -1.618414, 0.251275, 0.201806
5.364464, -18.224549, 0.134485, -0.620993
-13.894616, 7.779548, -0.010691, -0.165364
-6.932632, 2.675884, 0.262684, -0.153270
-11.914184, 6.021446, 0.067118, 0.269822
12.188093, 6.150512, 0.278549, -0.011902
-5.697276, -4.943535, -0.331456, -0.454769
-0.604972, 13.112867, -0.259680, 0.111575
6.966161, -1.047553, -0.163456, -0.321202
3.287223, 2.444259, -0.081959, 0.174836
-13.804489, 14.401086, -0.260612, 0.104327
6.674227, 7.217976, -0.245838, 0.001386
6.072611, 8.633808, 0.029737, -0.109793
-2.469288, -0.203264, 0.058085, 0.348878
-2.938050, -11.551155, 0.116671, -0.065522
