Ra, Rb
0.000000, 0.000000
0.001348, 0.005805
0.002696, 0.008210
0.004044, 0.010055
0.005392, 0.011610
0.006740, 0.012980
0.008088, 0.014219
0.009436, 0.015359
0.010784, 0.016419
0.012132, 0.017415
0.013479, 0.018357
0.014827, 0.019253
0.016175, 0.020109
0.017523, 0.020930
0.018871, 0.021721
0.020219, 0.022483
0.021567, 0.023220
0.022915, 0.023935
0.024263, 0.024629
0.025611, 0.025304
0.026959, 0.025961
0.028307, 0.026602
0.029655, 0.027228
0.031003, 0.027840
0.032351, 0.028439
0.033699, 0.029026
0.035047, 0.029600
0.036395, 0.030164
0.037744, 0.030718
0.039092, 0.031262
0.040440, 0.031796
0.041788, 0.032322
0.043136, 0.032839
0.044484, 0.033348
0.045832, 0.033850
0.047180, 0.034344
0.048528, 0.034831
0.049877, 0.035312
0.051225, 0.035786
0.052573, 0.036254
0.053921, 0.036716
0.055269, 0.037172
0.056618, 0.037622
0.057966, 0.038068
0.059314, 0.038508
0.060663, 0.038943
0.062011, 0.039374
0.063359, 0.039799
0.064708, 0.040221
0.066056, 0.040637
0.067404, 0.041050
0.068753, 0.041459
0.070101, 0.041863
0.071450, 0.042264
0.072798, 0.042661
0.074147, 0.043054
0.075495, 0.043444
0.076844, 0.043830
0.078193, 0.044213
0.079541, 0.044593
0.080890, 0.044969
0.082239, 0.045343
0.083588, 0.045713
0.084936, 0.046080
0.086285, 0.046445
0.087634, 0.046807
0.088983, 0.047165
0.090332, 0.047522
0.091681, 0.047875
0.093030, 0.048226
0.094379, 0.048574
0.095728, 0.048920
0.097077, 0.049264
0.098426, 0.049605
0.099775, 0.049944
0.101125, 0.050280
0.102474, 0.050615
0.103823, 0.050947
0.105173, 0.051277
0.106522, 0.051605
0.107871, 0.051931
0.109221, 0.052254
0.110570, 0.052576
0.111920, 0.052896
0.113270, 0.053214
0.114619, 0.053530
0.115969, 0.053844
0.117319, 0.054157
0.118669, 0.054468
0.120019, 0.054776
0.121368, 0.055084
0.122718, 0.055389
0.124068, 0.055693
0.125419, 0.055995
0.126769, 0.056296
0.128119, 0.056595
0.129469, 0.056892
0.130819, 0.057188
0.132170, 0.057483
0.133520, 0.057775
0.134871, 0.058067
0.136221, 0.058357
0.137572, 0.058645
0.138922, 0.058933
0.140273, 0.059218
0.141623, 0.059503
0.142974, 0.059786
0.144325, 0.060068
0.145676, 0.060348
0.147027, 0.060627
0.148378, 0.060905
0.149729, 0.061182
0.151080, 0.061457
0.152431, 0.061731
0.153782, 0.062004
0.155133, 0.062276
0.156485, 0.062547
0.157836, 0.062816
0.159187, 0.063085
0.160539, 0.063352
0.161890, 0.063618
0.163242, 0.063883
0.164593, 0.064147
0.165945, 0.064410
0.167297, 0.064672
0.168648, 0.064932
0.170000, 0.065192
0.171352, 0.065451
0.172704, 0.065708
0.174056, 0.065965
0.175408, 0.066221
0.176760, 0.066476
0.178112, 0.066729
0.179464, 0.066982
0.180816, 0.067234
0.182168, 0.067485
0.183521, 0.067735
0.184873, 0.067984
0.186225, 0.068232
0.187578, 0.068480
0.188930, 0.068726
0.190283, 0.068971
0.191635, 0.069216
0.192988, 0.069460
0.194340, 0.069703
0.195693, 0.069945
0.197046, 0.070186
0.198398, 0.070427
0.199751, 0.070667
0.201104, 0.070906
0.202457, 0.071144
0.203810, 0.071381
0.205163, 0.071617
0.206515, 0.071853
0.207868, 0.072088
0.209221, 0.072322
0.210574, 0.072556
0.211928, 0.072789
0.213281, 0.073021
0.214634, 0.073252
0.215987, 0.073482
0.217340, 0.073712
0.218693, 0.073941
0.220047, 0.074170
0.221400, 0.074398
0.222753, 0.074625
0.224106, 0.074851
0.225460, 0.075077
0.226813, 0.075302
0.228167, 0.075526
0.229520, 0.075750
0.230873, 0.075973
0.232227, 0.076195
0.233580, 0.076417
0.234934, 0.076638
0.236287, 0.076858
0.237641, 0.077078
0.238995, 0.077297
0.240348, 0.077516
0.241702, 0.077734
0.243055, 0.077951
0.244409, 0.078168
0.245763, 0.078384
0.247116, 0.078600
0.248470, 0.078815
0.249824, 0.079029
0.251177, 0.079243
0.252531, 0.079456
0.253885, 0.079669
0.255238, 0.079881
0.256592, 0.080092
0.257946, 0.080303
0.259300, 0.080514
0.260653, 0.080724
0.262007, 0.080933
0.263361, 0.081142
0.264715, 0.081350
0.266069, 0.081558
0.267422, 0.081765
0.268776, 0.081972
0.270130, 0.082178
0.271484, 0.082384
0.272838, 0.082589
0.274191, 0.082794
0.275545, 0.082998
0.276899, 0.083201
0.278253, 0.083405
0.279607, 0.083607
0.280960, 0.083809
0.282314, 0.084011
0.283668, 0.084212
0.285022, 0.084413
0.286376, 0.084613
0.287729, 0.084813
0.289083, 0.085012
0.290437, 0.085211
0.291791, 0.085409
0.293144, 0.085607
0.294498, 0.085805
0.295852, 0.086002
0.297206, 0.086198
0.298559, 0.086394
0.299913, 0.086590
0.301267, 0.086785
0.302621, 0.086980
0.303974, 0.087174
0.305328, 0.087368
0.306682, 0.087562
0.308035, 0.087755
0.309389, 0.087947
0.310743, 0.088139
0.312096, 0.088331
0.313450, 0.088523
0.314804, 0.088714
0.316157, 0.088904
0.317511, 0.089094
0.318864, 0.089284
0.320218, 0.089473
0.321571, 0.089662
0.322925, 0.089851
0.324278, 0.090039
0.325632, 0.090226
0.326985, 0.090414
0.328339, 0.090601
0.329692, 0.090787
0.331046, 0.090973
0.332399, 0.091159
0.333753, 0.091344
0.335106, 0.091530
0.336459, 0.091714
0.337813, 0.091898
0.339166, 0.092082
0.340519, 0.092266
0.341873, 0.092449
0.343226, 0.092632
0.344579, 0.092814
0.345932, 0.092996
0.347286, 0.093178
0.348639, 0.093359
0.349992, 0.093540
0.351345, 0.093721
0.352698, 0.093901
0.354051, 0.094081
0.355404, 0.094261
0.356758, 0.094440
0.358111, 0.094619
0.359464, 0.094798
0.360817, 0.094976
0.362170, 0.095154
0.363523, 0.095331
0.364875, 0.095509
0.366228, 0.095685
0.367581, 0.095862
0.368934, 0.096038
0.370287, 0.096214
0.371640, 0.096390
0.372993, 0.096565
0.374345, 0.096740
0.375698, 0.096915
0.377051, 0.097089
0.378404, 0.097263
0.379756, 0.097437
0.381109, 0.097610
0.382462, 0.097783
0.383814, 0.097956
0.385167, 0.098128
0.386519, 0.098300
0.387872, 0.098472
0.389224, 0.098644
0.390577, 0.098815
0.391929, 0.098986
0.393282, 0.099157
0.394634, 0.099327
0.395987, 0.099497
0.397339, 0.099667
0.398691, 0.099836
0.400044, 0.100005
0.401396, 0.100174
0.402748, 0.100343
0.404100, 0.100511
0.405453, 0.100679
0.406805, 0.100847
0.408157, 0.101014
0.409509, 0.101182
0.410861, 0.101349
0.412213, 0.101515
0.413565, 0.101682
0.414917, 0.101848
0.416269, 0.102013
0.417621, 0.102179
0.418973, 0.102344
0.420325, 0.102509
0.421677, 0.102674
0.423029, 0.102838
0.424381, 0.103003
0.425733, 0.103166
0.427085, 0.103330
0.428436, 0.103494
0.429788, 0.103657
0.431140, 0.103820
0.432492, 0.103982
0.433843, 0.104145
0.435195, 0.104307
0.436546, 0.104468
0.437898, 0.104630
0.439250, 0.104791
0.440601, 0.104953
0.441953, 0.105113
0.443304, 0.105274
0.444656, 0.105434
0.446007, 0.105594
0.447359, 0.105754
0.448710, 0.105914
0.450061, 0.106073
0.451413, 0.106232
0.452764, 0.106391
0.454115, 0.106550
0.455467, 0.106708
0.456818, 0.106866
0.458169, 0.107024
0.459520, 0.107182
0.460871, 0.107340
0.462223, 0.107497
0.463574, 0.107654
0.464925, 0.107811
0.466276, 0.107967
0.467627, 0.108123
0.468978, 0.108280
0.470329, 0.108435
0.471680, 0.108591
0.473031, 0.108746
0.474382, 0.108902
0.475733, 0.109057
0.477084, 0.109211
0.478435, 0.109366
0.479785, 0.109520
0.481136, 0.109674
0.482487, 0.109828
0.483838, 0.109982
0.485189, 0.110135
0.486539, 0.110288
