rx, ry, vx, vy
2.120735, -0.670275, 2.122134, -0.671915
0.654082, 2.472471, -0.043919, 0.730704
1.717430, -2.506495, 0.498988, 0.501467
-2.319088, 4.072537, -0.848275, -0.357469
2.164247, -5.347669, 0.098991, -1.141810
5.117528, -2.693113, 0.430796, 2.756693
-3.009494, 3.066979, 1.082422, 1.343113
-2.493125, 4.066268, -1.711333, 1.067313
6.846267, 3.898411, 0.650634, 0.240188
-2.422866, -1.909413, -0.788743, -0.630100
-5.368427, -6.930736, 0.680366, -0.690686
-6.532089, 3.264767, -0.546015, -0.582688
-2.075407, -6.401471, 0.868027, -0.776483
2.136199, 5.264564, -1.369607, 0.092247
-3.164533, 3.351229, -1.050385, -0.148958
-2.186010, -1.959680, -1.544258, -0.264566
-1.925315, 3.394095, 0.476974, 1.075178
6.150917, -8.825085, 2.496415, -3.361127
0.129482, -0.645744, -0.679366, 1.317456
2.613535, -0.735325, -0.998653, 0.472426
2.606039, -6.317692, 0.268625, -0.718714
2.959036, 0.389324, -0.024830, 0.004274
-0.828126, 0.284628, 0.906101, 0.231229
-3.703254, -4.091566, -0.274962, -1.095090
-1.700116, 0.388602, 1.208287, 0.704990
1.041993, 0.835924, -1.666118, -1.685496
-0.463902, 6.181724, -0.315363, 0.745274
-6.715700, 1.586969, -0.393989, 0.353787
1.829273, -0.321242, -0.771632, 0.543717
-2.306762, -5.074026, -0.581405, 0.491375
3.893366, -1.845980, -0.969252, 0.995905
4.687568, 3.825672, -0.978691, 0.826131
6.109539, 2.435910, 1.658265, -0.450732
-3.451185, -5.596203, -0.568189, -1.510553
-0.249363, -0.037785, -1.065772, 0.557236
6.363324, 1.503093, 1.091251, -1.123559
-1.878153, -3.592527, 0.729659, -1.252911
-3.190082, 5.014364, 0.178576, 1.182164
-2.122554, 5.579757, 0.451425, 0.944400
0.699176, -4.382575, 1.292824, -0.714411
-5.719704, 3.914475, -0.609186, -0.657453
5.252903, -4.964009, 0.080174, -0.794195
-4.775576, -3.330996, -0.574992, -1.161562
-5.780825, 6.235689, -0.774459, 0.413201
-4.572784, 4.805535, -1.102778, -0.404760
4.924816, 3.058356, 1.272330, 1.049919
5.840055, -1.391490, -0.319310, -0.289228
3.331758, -3.535553, -0.243462, 0.087179
0.285220, 4.805060, 0.338409, 0.402587
-5.393954, 2.790779, -0.067693, -0.177996
2.523055, -2.761937, 0.350919, -0.214836
0.754089, 3.206562, -0.142078, 0.034896
5.858571, -6.039504, 0.044824, -0.428956
4.567811, 0.672615, 0.609785, -0.291783
-3.631573, -5.590077, 1.031964, 0.047696
6.824475, 5.257692, 1.197162, -0.515195
-6.204218, -3.106374, 0.083667, 0.477675
-4.367476, -0.504715, -0.416429, 0.641706
-2.714523, -3.670073, -1.234968, -0.629163
0.846725, 6.096219, -0.045134, -0.084087
-3.133577, 6.910025, -0.125611, 0.722165
-6.595765, -6.089220, -0.624425, -0.932998
-1.556122, 4.913423, 0.073971, -0.915030
-4.966200, 2.286046, 0.221036, 1.108089
2.981281, 6.356503, 1.008765, 0.211484
-6.386976, -2.339011, -0.636626, 0.360207
6.279075, 2.470334, 0.150342, 0.507970
3.983719, 4.418125, 1.436351, 0.049248
1.375858, -4.848022, 0.819946, 0.464054
-5.763862, -3.583140, -1.439439, 0.621727
-3.383622, -0.940604, 1.999429, -0.426207
-8.003834, 2.325843, -1.993245, 2.316441
5.745943, 0.538548, -0.280308, 0.092062
1.895435, -4.701615, 1.297181, -0.760717
1.656583, -7.199703, 0.550260, -0.955770
4.635000, -0.408346, -0.369780, -0.406833
1.420970, 0.060304, -0.546495, -0.095184
-2.995278, 1.311461, -0.390168, -0.017833
1.627173, 4.814523, 0.190564, 0.654810
0.935044, 1.402006, -0.820494, -0.103330
