Ta, Tb
1.073887, 0.878432
1.073843, 0.845882
1.073799, 0.846212
1.073754, 0.847777
1.073709, 0.850553
1.073664, 0.854500
1.073619, 0.859559
1.073574, 0.865658
1.073528, 0.872712
1.073483, 0.880628
1.073438, 0.889301
1.073392, 0.898626
1.073347, 0.908493
1.073302, 0.918793
1.073257, 0.929418
1.073212, 0.940266
1.073167, 0.951240
1.073123, 0.962249
1.073079, 0.973211
1.073035, 0.984053
1.072992, 0.994708
1.072949, 1.005121
1.072906, 1.015244
1.072864, 1.025038
1.072823, 1.034471
1.072782, 1.043519
1.072742, 1.052165
1.072703, 1.060396
1.072664, 1.068206
1.072626, 1.075594
1.072589, 1.082562
1.072552, 1.089115
1.072517, 1.095262
1.072482, 1.101014
1.072448, 1.106383
1.072416, 1.111383
1.072384, 1.116028
1.072353, 1.120335
1.072324, 1.124320
1.072295, 1.127998
1.072268, 1.131386
1.072242, 1.134501
1.072217, 1.137358
1.072193, 1.139972
1.072171, 1.142359
1.072150, 1.144533
1.072130, 1.146507
1.072111, 1.148296
1.072094, 1.149911
1.072078, 1.151366
1.072064, 1.152670
1.072050, 1.153835
1.072039, 1.154871
1.072029, 1.155788
1.072020, 1.156594
1.072012, 1.157298
1.072006, 1.157907
1.072002, 1.158430
1.071999, 1.158873
1.071997, 1.159242
1.071997, 1.159543
1.071999, 1.159782
1.072002, 1.159964
1.072006, 1.160094
1.072012, 1.160176
1.072019, 1.160214
1.072028, 1.160213
1.072038, 1.160175
1.072049, 1.160104
1.072062, 1.160004
1.072076, 1.159876
1.072092, 1.159724
1.072109, 1.159550
1.072127, 1.159356
1.072146, 1.159144
1.072167, 1.158916
1.072189, 1.158674
1.072212, 1.158419
1.072237, 1.158153
1.072262, 1.157878
1.072289, 1.157594
1.072317, 1.157302
1.072346, 1.157005
1.072376, 1.156702
1.072407, 1.156395
1.072439, 1.156084
1.072472, 1.155770
1.072505, 1.155454
1.072540, 1.155137
1.072575, 1.154818
1.072612, 1.154500
1.072649, 1.154181
1.072686, 1.153863
1.072725, 1.153546
1.072763, 1.153229
1.072803, 1.152915
1.072843, 1.152602
1.072884, 1.152292
1.072925, 1.151983
1.072966, 1.151677
1.073008, 1.151374
1.073050, 1.151074
1.073093, 1.150777
1.073135, 1.150483
1.073178, 1.150193
1.073222, 1.149906
1.073265, 1.149622
1.073308, 1.149342
1.073352, 1.149065
1.073395, 1.148792
1.073439, 1.148523
1.073483, 1.148257
1.073526, 1.147995
1.073569, 1.147737
1.073612, 1.147483
1.073655, 1.147232
1.073698, 1.146986
1.073741, 1.146743
1.073783, 1.146503
1.073825, 1.146268
1.073867, 1.146036
1.073908, 1.145808
1.073949, 1.145583
1.073990, 1.145362
1.074030, 1.145145
1.074069, 1.144931
1.074109, 1.144721
1.074147, 1.144514
1.074185, 1.144311
1.074223, 1.144111
1.074260, 1.143914
1.074297, 1.143721
1.074333, 1.143531
1.074369, 1.143344
1.074404, 1.143160
1.074439, 1.142980
1.074473, 1.142802
1.074506, 1.142628
1.074539, 1.142456
1.074571, 1.142287
1.074602, 1.142122
1.074633, 1.141959
1.074663, 1.141799
1.074692, 1.141641
1.074721, 1.141487
1.074748, 1.141335
1.074775, 1.141185
1.074801, 1.141038
1.074827, 1.140894
1.074851, 1.140752
1.074875, 1.140613
1.074898, 1.140476
1.074920, 1.140341
1.074942, 1.140208
1.074963, 1.140078
1.074983, 1.139950
1.075002, 1.139824
1.075020, 1.139700
1.075038, 1.139579
1.075055, 1.139459
1.075071, 1.139342
1.075086, 1.139226
1.075100, 1.139112
1.075114, 1.139000
1.075127, 1.138890
1.075139, 1.138782
1.075151, 1.138676
1.075162, 1.138571
1.075172, 1.138468
1.075181, 1.138367
1.075190, 1.138268
1.075198, 1.138170
1.075205, 1.138073
1.075212, 1.137979
1.075218, 1.137885
1.075223, 1.137794
1.075228, 1.137703
1.075231, 1.137615
1.075235, 1.137527
1.075238, 1.137441
1.075240, 1.137357
1.075241, 1.137273
1.075242, 1.137191
1.075242, 1.137110
1.075242, 1.137031
1.075241, 1.136953
1.075240, 1.136876
1.075238, 1.136800
1.075236, 1.136725
1.075233, 1.136652
1.075230, 1.136579
1.075226, 1.136508
1.075221, 1.136438
1.075217, 1.136368
1.075211, 1.136300
1.075206, 1.136233
1.075200, 1.136167
1.075193, 1.136102
1.075186, 1.136037
1.075179, 1.135974
1.075171, 1.135912
1.075163, 1.135850
1.075155, 1.135790
1.075146, 1.135730
1.075137, 1.135671
1.075128, 1.135613
1.075118, 1.135556
1.075108, 1.135499
1.075098, 1.135444
1.075087, 1.135389
1.075077, 1.135335
1.075066, 1.135282
1.075054, 1.135229
1.075043, 1.135177
1.075031, 1.135126
1.075019, 1.135076
1.075007, 1.135026
1.074995, 1.134977
1.074983, 1.134928
1.074970, 1.134880
1.074958, 1.134833
1.074945, 1.134787
1.074932, 1.134741
1.074919, 1.134695
1.074906, 1.134650
1.074892, 1.134606
1.074879, 1.134563
1.074866, 1.134520
1.074852, 1.134477
1.074839, 1.134435
1.074825, 1.134394
1.074812, 1.134353
1.074798, 1.134312
1.074784, 1.134272
1.074771, 1.134233
1.074757, 1.134194
1.074744, 1.134155
1.074730, 1.134117
1.074717, 1.134079
1.074703, 1.134042
1.074690, 1.134006
1.074676, 1.133969
1.074663, 1.133933
1.074650, 1.133898
1.074637, 1.133863
1.074624, 1.133828
1.074611, 1.133794
1.074598, 1.133760
1.074585, 1.133727
1.074573, 1.133694
1.074560, 1.133661
1.074548, 1.133629
1.074536, 1.133597
1.074524, 1.133565
1.074512, 1.133534
1.074500, 1.133503
1.074489, 1.133472
1.074478, 1.133442
1.074467, 1.133412
1.074456, 1.133382
1.074445, 1.133353
1.074434, 1.133324
1.074424, 1.133295
1.074414, 1.133266
1.074404, 1.133238
1.074395, 1.133210
1.074385, 1.133183
1.074376, 1.133156
1.074367, 1.133128
1.074359, 1.133102
1.074351, 1.133075
1.074343, 1.133049
1.074335, 1.133023
1.074327, 1.132997
1.074320, 1.132972
1.074313, 1.132946
1.074307, 1.132921
1.074301, 1.132897
1.074295, 1.132872
1.074289, 1.132848
1.074284, 1.132824
1.074279, 1.132800
1.074274, 1.132776
1.074270, 1.132753
1.074266, 1.132730
1.074262, 1.132707
1.074259, 1.132684
1.074256, 1.132661
1.074254, 1.132639
1.074252, 1.132616
1.074250, 1.132594
1.074248, 1.132573
1.074247, 1.132551
1.074247, 1.132530
1.074247, 1.132508
1.074247, 1.132487
1.074247, 1.132466
1.074248, 1.132445
1.074250, 1.132425
1.074252, 1.132405
1.074254, 1.132384
1.074257, 1.132364
1.074260, 1.132344
1.074263, 1.132325
1.074267, 1.132305
1.074272, 1.132285
1.074277, 1.132266
1.074282, 1.132247
1.074288, 1.132228
1.074294, 1.132209
1.074301, 1.132190
1.074308, 1.132172
1.074316, 1.132153
1.074324, 1.132135
1.074333, 1.132117
1.074342, 1.132099
1.074352, 1.132081
1.074362, 1.132063
1.074372, 1.132046
1.074383, 1.132028
1.074395, 1.132011
1.074407, 1.131994
1.074420, 1.131976
1.074433, 1.131959
1.074447, 1.131943
1.074461, 1.131926
1.074476, 1.131909
1.074492, 1.131893
1.074508, 1.131876
1.074524, 1.131860
1.074541, 1.131844
1.074559, 1.131828
1.074577, 1.131812
1.074596, 1.131796
1.074615, 1.131780
1.074635, 1.131764
1.074655, 1.131749
1.074676, 1.131733
1.074698, 1.131718
1.074720, 1.131702
1.074743, 1.131687
1.074766, 1.131672
1.074790, 1.131657
1.074815, 1.131642
1.074840, 1.131627
1.074866, 1.131613
1.074893, 1.131598
1.074920, 1.131583
1.074948, 1.131569
1.074976, 1.131555
1.075006, 1.131540
1.075035, 1.131526
1.075066, 1.131512
1.075097, 1.131498
1.075129, 1.131484
1.075161, 1.131470
1.075194, 1.131456
1.075228, 1.131442
1.075263, 1.131429
1.075298, 1.131415
1.075334, 1.131402
1.075370, 1.131388
1.075408, 1.131375
1.075446, 1.131362
1.075484, 1.131348
1.075524, 1.131335
1.075564, 1.131322
1.075605, 1.131309
1.075647, 1.131296
1.075689, 1.131283
1.075732, 1.131271
1.075776, 1.131258
1.075821, 1.131245
1.075867, 1.131233
1.075913, 1.131220
1.075960, 1.131208
1.076008, 1.131195
1.076057, 1.131183
1.076106, 1.131171
1.076156, 1.131158
1.076207, 1.131146
1.076259, 1.131134
1.076312, 1.131122
1.076366, 1.131110
1.076420, 1.131098
1.076475, 1.131086
1.076532, 1.131074
1.076589, 1.131063
1.076647, 1.131051
1.076705, 1.131039
1.076765, 1.131028
1.076826, 1.131016
1.076887, 1.131005
1.076949, 1.130993
1.077013, 1.130982
1.077077, 1.130970
1.077142, 1.130959
1.077208, 1.130948
1.077275, 1.130937
1.077343, 1.130926
1.077412, 1.130914
1.077482, 1.130903
1.077553, 1.130892
1.077625, 1.130881
1.077697, 1.130871
1.077771, 1.130860
1.077846, 1.130849
1.077922, 1.130838
1.077999, 1.130827
1.078077, 1.130817
1.078156, 1.130806
1.078236, 1.130795
1.078317, 1.130785
1.078399, 1.130774
1.078482, 1.130764
1.078567, 1.130754
1.078652, 1.130743
1.078739, 1.130733
1.078826, 1.130723
1.078915, 1.130712
1.079005, 1.130702
1.079096, 1.130692
1.079188, 1.130682
1.079282, 1.130672
1.079376, 1.130662
1.079472, 1.130652
1.079569, 1.130642
1.079667, 1.130632
1.079766, 1.130622
1.079867, 1.130612
1.079968, 1.130602
1.080071, 1.130592
1.080176, 1.130583
1.080281, 1.130573
1.080388, 1.130563
1.080496, 1.130554
1.080605, 1.130544
1.080716, 1.130534
1.080828, 1.130525
1.080941, 1.130515
1.081055, 1.130506
1.081171, 1.130496
1.081289, 1.130487
1.081407, 1.130478
1.081527, 1.130468
1.081649, 1.130459
1.081771, 1.130450
1.081895, 1.130440
1.082021, 1.130431
1.082148, 1.130422
1.082276, 1.130413
1.082406, 1.130404
1.082538, 1.130395
1.082670, 1.130388
1.082805, 1.130380
1.082940, 1.130373
1.083077, 1.130365
1.083216, 1.130358
1.083356, 1.130350
1.083498, 1.130343
1.083641, 1.130336
1.083786, 1.130328
1.083932, 1.130321
1.084080, 1.130313
1.084229, 1.130306
1.084380, 1.130299
1.084533, 1.130291
1.084687, 1.130284
1.084843, 1.130277
1.085000, 1.130269
1.085159, 1.130262
1.085319, 1.130255
1.085481, 1.130248
1.085645, 1.130240
1.085810, 1.130233
1.085977, 1.130226
1.086145, 1.130219
1.086315, 1.130212
1.086487, 1.130204
1.086660, 1.130197
1.086835, 1.130190
1.087012, 1.130183
1.087190, 1.130176
1.087370, 1.130169
1.087551, 1.130162
1.087734, 1.130155
1.087918, 1.130148
1.088104, 1.130140
1.088292, 1.130133
1.088481, 1.130126
1.088672, 1.130119
1.088864, 1.130112
1.089058, 1.130105
1.089253, 1.130099
1.089450, 1.130092
1.089648, 1.130085
1.089848, 1.130078
1.090049, 1.130071
1.090252, 1.130064
1.090455, 1.130057
1.090661, 1.130050
1.090867, 1.130043
1.091075, 1.130036
1.091283, 1.130030
1.091493, 1.130023
1.091705, 1.130016
1.091917, 1.130009
1.092130, 1.130002
1.092344, 1.129996
1.092559, 1.129989
1.092775, 1.129982
1.092991, 1.129976
1.093208, 1.129969
1.093426, 1.129962
1.093644, 1.129955
1.093863, 1.129949
1.094082, 1.129942
1.094301, 1.129935
1.094520, 1.129929
1.094739, 1.129922
1.094958, 1.129916
1.095177, 1.129909
1.095395, 1.129902
1.095613, 1.129896
1.095830, 1.129889
1.096045, 1.129883
1.096260, 1.129876
1.096474, 1.129870
1.096686, 1.129863
1.096896, 1.129857
1.097104, 1.129850
1.097311, 1.129844
1.097514, 1.129837
1.097715, 1.129831
1.097913, 1.129824
1.098108, 1.129818
1.098300, 1.129811
1.098487, 1.129805
1.098670, 1.129799
1.098849, 1.129792
1.099022, 1.129786
1.099191, 1.129780
1.099353, 1.129773
1.099510, 1.129767
1.099659, 1.129761
1.099802, 1.129754
1.099937, 1.129748
1.100064, 1.129742
1.100182, 1.129735
1.100291, 1.129729
1.100390, 1.129723
1.100478, 1.129717
1.100555, 1.129710
1.100621, 1.129704
1.100674, 1.129698
1.100714, 1.129692
1.100739, 1.129686
1.100750, 1.129679
1.100745, 1.129673
1.100724, 1.129667
1.100686, 1.129661
1.100629, 1.129655
1.100553, 1.129649
1.100457, 1.129643
1.100340, 1.129637
1.100200, 1.129630
1.100038, 1.129624
1.099851, 1.129618
1.099639, 1.129612
1.099401, 1.129606
1.099135, 1.129600
1.098840, 1.129594
1.098516, 1.129588
1.098161, 1.129582
1.097775, 1.129576
1.097355, 1.129570
1.096901, 1.129564
1.096412, 1.129558
1.095887, 1.129552
1.095325, 1.129546
1.094725, 1.129540
1.094086, 1.129535
1.093407, 1.129529
1.092689, 1.129523
1.091929, 1.129517
1.091128, 1.129511
1.090286, 1.129505
1.089402, 1.129499
1.088476, 1.129493
1.087508, 1.129488
1.086500, 1.129482
1.085450, 1.129476
1.084360, 1.129470
1.083232, 1.129464
1.082066, 1.129459
1.080864, 1.129453
1.079627, 1.129447
1.078359, 1.129441
1.077062, 1.129436
1.075738, 1.129430
1.074391, 1.129424
1.073024, 1.129418
1.071641, 1.129413
1.070247, 1.129407
1.068845, 1.129401
1.067441, 1.129396
1.066041, 1.129390
1.064648, 1.129384
1.063270, 1.129379
1.061912, 1.129373
1.060580, 1.129367
1.059281, 1.129362
1.058020, 1.129356
1.056804, 1.129351
1.055640, 1.129345
1.054534, 1.129339
1.053492, 1.129334
1.052520, 1.129328
1.051624, 1.129323
1.050809, 1.129317
1.050080, 1.129312
1.049441, 1.129306
1.048897, 1.129301
1.048451, 1.129295
1.048106, 1.129290
1.047864, 1.129284
1.047727, 1.129279
1.047696, 1.129273
1.047770, 1.129268
1.047949, 1.129262
1.048232, 1.129257
1.048618, 1.129251
1.049103, 1.129246
1.049684, 1.129241
1.050358, 1.129235
1.051120, 1.129230
1.051966, 1.129224
1.052890, 1.129219
1.053887, 1.129214
1.054951, 1.129208
1.056077, 1.129203
1.057256, 1.129198
1.058485, 1.129192
1.059755, 1.129187
1.061061, 1.129182
1.062397, 1.129176
1.063756, 1.129171
1.065132, 1.129166
1.066520, 1.129161
1.067913, 1.129155
1.069308, 1.129150
1.070698, 1.129145
1.072079, 1.129140
1.073446, 1.129134
1.074797, 1.129129
1.076126, 1.129124
1.077431, 1.129119
1.078709, 1.129113
1.079957, 1.129108
1.081172, 1.129103
1.082354, 1.129098
1.083499, 1.129093
1.084607, 1.129088
1.085677, 1.129082
1.086707, 1.129077
1.087697, 1.129072
1.088646, 1.129067
1.089555, 1.129062
1.090424, 1.129057
1.091251, 1.129052
1.092039, 1.129047
1.092787, 1.129042
1.093495, 1.129036
1.094165, 1.129031
1.094797, 1.129026
1.095392, 1.129021
1.095951, 1.129016
1.096474, 1.129011
1.096964, 1.129006
1.097421, 1.129001
1.097846, 1.128996
1.098239, 1.128991
1.098604, 1.128986
1.098939, 1.128981
1.099248, 1.128976
1.099529, 1.128971
1.099786, 1.128966
1.100019, 1.128961
1.100228, 1.128956
1.100416, 1.128951
1.100583, 1.128946
1.100730, 1.128942
1.100858, 1.128937
1.100969, 1.128932
1.101062, 1.128927
1.101140, 1.128922
1.101203, 1.128917
1.101251, 1.128912
1.101286, 1.128907
1.101309, 1.128902
1.101320, 1.128898
1.101319, 1.128893
1.101309, 1.128888
1.101289, 1.128883
1.101260, 1.128878
1.101222, 1.128873
1.101177, 1.128869
1.101125, 1.128864
