Ra, Rb
0.000000, 0.000000
0.001256, 0.005604
0.002513, 0.007926
0.003769, 0.009707
0.005025, 0.011208
0.006281, 0.012531
0.007538, 0.013727
0.008794, 0.014827
0.010050, 0.015851
0.011306, 0.016813
0.012563, 0.017722
0.013819, 0.018587
0.015075, 0.019413
0.016331, 0.020206
0.017587, 0.020969
0.018844, 0.021705
0.020100, 0.022416
0.021356, 0.023106
0.022612, 0.023776
0.023868, 0.024428
0.025124, 0.025062
0.026380, 0.025681
0.027636, 0.026285
0.028893, 0.026876
0.030149, 0.027454
0.031405, 0.028020
0.032661, 0.028575
0.033917, 0.029119
0.035173, 0.029653
0.036429, 0.030178
0.037685, 0.030694
0.038941, 0.031201
0.040197, 0.031700
0.041453, 0.032192
0.042709, 0.032676
0.043965, 0.033153
0.045221, 0.033623
0.046477, 0.034087
0.047733, 0.034544
0.048988, 0.034996
0.050244, 0.035442
0.051500, 0.035882
0.052756, 0.036317
0.054012, 0.036746
0.055268, 0.037171
0.056524, 0.037591
0.057779, 0.038006
0.059035, 0.038417
0.060291, 0.038824
0.061547, 0.039226
0.062803, 0.039624
0.064058, 0.040018
0.065314, 0.040409
0.066570, 0.040795
0.067825, 0.041178
0.069081, 0.041558
0.070337, 0.041934
0.071593, 0.042306
0.072848, 0.042676
0.074104, 0.043042
0.075360, 0.043405
0.076615, 0.043765
0.077871, 0.044122
0.079126, 0.044477
0.080382, 0.044828
0.081638, 0.045177
0.082893, 0.045523
0.084149, 0.045866
0.085404, 0.046207
6.319888, 0.397489
6.319829, 0.397487
6.319770, 0.397485
6.319712, 0.397483
6.319654, 0.397481
6.319596, 0.397479
6.319538, 0.397478
6.319481, 0.397476
6.319424, 0.397474
6.319367, 0.397472
6.319310, 0.397470
6.319253, 0.397469
6.319197, 0.397467
6.319141, 0.397465
6.319086, 0.397463
6.319030, 0.397462
6.318975, 0.397460
6.318920, 0.397458
6.318865, 0.397456
6.318811, 0.397455
6.318757, 0.397453
6.318703, 0.397451
6.318649, 0.397450
6.318595, 0.397448
6.318542, 0.397446
6.318489, 0.397445
6.318437, 0.397443
6.318384, 0.397441
6.318332, 0.397440
6.318280, 0.397438
6.318228, 0.397436
6.318177, 0.397435
6.318125, 0.397433
6.318074, 0.397432
6.318024, 0.397430
6.317973, 0.397428
6.317923, 0.397427
6.317873, 0.397425
6.317823, 0.397424
6.317774, 0.397422
6.317725, 0.397421
6.317676, 0.397419
6.317627, 0.397418
6.317578, 0.397416
6.317530, 0.397414
6.317482, 0.397413
6.317434, 0.397411
6.317387, 0.397410
6.317340, 0.397408
6.317293, 0.397407
6.317246, 0.397406
6.317199, 0.397404
6.317153, 0.397403
6.317107, 0.397401
6.317061, 0.397400
6.317016, 0.397398
6.316971, 0.397397
6.316926, 0.397395
6.316881, 0.397394
6.316836, 0.397393
6.316792, 0.397391
6.316748, 0.397390
6.316704, 0.397388
6.316661, 0.397387
6.316618, 0.397386
6.316575, 0.397384
6.316532, 0.397383
6.316489, 0.397382
6.316447, 0.397380
6.316405, 0.397379
6.316363, 0.397378
6.316322, 0.397376
6.316281, 0.397375
6.316240, 0.397374
6.316199, 0.397373
6.316159, 0.397371
6.316118, 0.397370
6.316078, 0.397369
6.316039, 0.397368
6.315999, 0.397366
6.315960, 0.397365
6.315921, 0.397364
6.315882, 0.397363
6.315844, 0.397361
6.315805, 0.397360
6.315767, 0.397359
6.315730, 0.397358
6.315692, 0.397357
6.315655, 0.397355
6.315618, 0.397354
6.315581, 0.397353
6.315545, 0.397352
6.315509, 0.397351
6.315473, 0.397350
6.315437, 0.397349
6.315402, 0.397348
6.315366, 0.397346
6.315331, 0.397345
6.315297, 0.397344
6.315262, 0.397343
6.315228, 0.397342
6.315194, 0.397341
6.315161, 0.397340
6.315127, 0.397339
6.315094, 0.397338
6.315061, 0.397337
6.315028, 0.397336
6.314996, 0.397335
6.314964, 0.397334
6.314932, 0.397333
6.314900, 0.397332
6.314869, 0.397331
6.314838, 0.397330
6.314807, 0.397329
6.314777, 0.397328
6.314746, 0.397327
6.314716, 0.397326
6.314686, 0.397325
6.314657, 0.397324
6.314628, 0.397323
6.314599, 0.397322
6.314570, 0.397321
6.314541, 0.397320
6.314513, 0.397320
6.314485, 0.397319
6.314457, 0.397318
6.314430, 0.397317
6.314403, 0.397316
6.314376, 0.397315
6.314349, 0.397314
6.314323, 0.397314
6.314296, 0.397313
6.314270, 0.397312
6.314245, 0.397311
6.314219, 0.397310
6.314194, 0.397310
6.314169, 0.397309
6.314145, 0.397308
6.314120, 0.397307
6.314096, 0.397306
6.314073, 0.397306
6.314049, 0.397305
6.314026, 0.397304
6.314003, 0.397303
6.313980, 0.397303
6.313957, 0.397302
6.313935, 0.397301
6.313913, 0.397301
6.313892, 0.397300
6.313870, 0.397299
6.313849, 0.397299
6.313828, 0.397298
6.313807, 0.397297
6.313787, 0.397297
6.313767, 0.397296
6.313747, 0.397295
6.313727, 0.397295
6.313708, 0.397294
6.313689, 0.397294
6.313670, 0.397293
6.313651, 0.397292
6.313633, 0.397292
6.313615, 0.397291
6.313597, 0.397291
6.313580, 0.397290
6.313562, 0.397290
6.313545, 0.397289
6.313529, 0.397289
6.313512, 0.397288
6.313496, 0.397288
6.313480, 0.397287
6.313464, 0.397287
6.313449, 0.397286
6.313434, 0.397286
6.313419, 0.397285
6.313404, 0.397285
6.313390, 0.397284
6.313376, 0.397284
6.313362, 0.397283
6.313348, 0.397283
6.313335, 0.397282
6.313322, 0.397282
6.313309, 0.397282
6.313297, 0.397281
6.313284, 0.397281
6.313272, 0.397281
6.313261, 0.397280
6.313249, 0.397280
6.313238, 0.397279
6.313227, 0.397279
6.313216, 0.397279
6.313206, 0.397278
6.313195, 0.397278
6.313185, 0.397278
6.313176, 0.397277
6.313166, 0.397277
6.313157, 0.397277
6.313148, 0.397277
6.313140, 0.397276
6.313131, 0.397276
6.313123, 0.397276
6.313115, 0.397276
6.313108, 0.397275
6.313100, 0.397275
6.313093, 0.397275
6.313086, 0.397275
6.313080, 0.397274
6.313073, 0.397274
6.313067, 0.397274
6.313062, 0.397274
6.313056, 0.397274
6.313051, 0.397274
6.313046, 0.397273
6.313041, 0.397273
6.313036, 0.397273
6.313032, 0.397273
6.313028, 0.397273
6.313024, 0.397273
6.313021, 0.397273
6.313018, 0.397272
6.313015, 0.397272
6.313012, 0.397272
6.313009, 0.397272
6.313007, 0.397272
6.313005, 0.397272
6.313004, 0.397272
6.313002, 0.397272
6.313001, 0.397272
6.313000, 0.397272
6.312999, 0.397272
6.312999, 0.397272
6.312999, 0.397272
6.312999, 0.397272
6.312999, 0.397272
6.313000, 0.397272
6.313001, 0.397272
6.313002, 0.397272
6.313003, 0.397272
6.313005, 0.397272
6.313007, 0.397272
6.313009, 0.397272
6.313011, 0.397272
6.313014, 0.397272
6.313017, 0.397272
6.313020, 0.397273
6.313023, 0.397273
6.313027, 0.397273
6.313031, 0.397273
6.313035, 0.397273
6.313039, 0.397273
6.313044, 0.397273
6.313049, 0.397273
6.313054, 0.397274
6.313060, 0.397274
6.313065, 0.397274
6.313071, 0.397274
6.313077, 0.397274
6.313084, 0.397275
6.313091, 0.397275
6.313097, 0.397275
6.313105, 0.397275
6.313112, 0.397275
6.313120, 0.397276
6.313128, 0.397276
6.313136, 0.397276
6.313145, 0.397276
6.313153, 0.397277
6.313162, 0.397277
6.313172, 0.397277
6.313181, 0.397278
6.313191, 0.397278
6.313201, 0.397278
6.313211, 0.397279
6.313221, 0.397279
6.313232, 0.397279
6.313243, 0.397280
6.313254, 0.397280
6.313266, 0.397280
6.313278, 0.397281
6.313290, 0.397281
6.313302, 0.397281
6.313315, 0.397282
6.313327, 0.397282
6.313340, 0.397283
6.313354, 0.397283
6.313367, 0.397283
6.313381, 0.397284
6.313395, 0.397284
6.313409, 0.397285
6.313424, 0.397285
6.313439, 0.397286
6.313454, 0.397286
6.313469, 0.397287
6.313484, 0.397287
6.313500, 0.397288
6.313516, 0.397288
6.313533, 0.397289
6.313549, 0.397289
6.313566, 0.397290
6.313583, 0.397290
6.313600, 0.397291
6.313618, 0.397291
6.313636, 0.397292
6.313654, 0.397293
6.313672, 0.397293
6.313690, 0.397294
6.313709, 0.397294
6.313728, 0.397295
6.313748, 0.397295
6.313767, 0.397296
6.313787, 0.397297
6.313807, 0.397297
6.313827, 0.397298
6.313848, 0.397299
6.313869, 0.397299
6.313890, 0.397300
6.313911, 0.397301
6.313933, 0.397301
6.313955, 0.397302
6.313977, 0.397303
6.313999, 0.397303
6.314021, 0.397304
6.314044, 0.397305
6.314067, 0.397306
6.314091, 0.397306
6.314114, 0.397307
6.314138, 0.397308
6.314162, 0.397309
6.314186, 0.397309
6.314211, 0.397310
6.314236, 0.397311
6.314261, 0.397312
6.314286, 0.397312
6.314312, 0.397313
6.314338, 0.397314
6.314364, 0.397315
6.314390, 0.397316
6.314416, 0.397317
6.314443, 0.397317
6.314470, 0.397318
6.314498, 0.397319
6.314525, 0.397320
6.314553, 0.397321
6.314581, 0.397322
6.314609, 0.397323
6.314638, 0.397323
6.314667, 0.397324
6.314696, 0.397325
6.314725, 0.397326
6.314755, 0.397327
6.314785, 0.397328
6.314815, 0.397329
6.314845, 0.397330
6.314875, 0.397331
6.314906, 0.397332
6.314937, 0.397333
6.314969, 0.397334
6.315000, 0.397335
6.315032, 0.397336
6.315064, 0.397337
6.315096, 0.397338
6.315129, 0.397339
6.315162, 0.397340
6.315195, 0.397341
6.315228, 0.397342
6.315262, 0.397343
6.315295, 0.397344
6.315329, 0.397345
6.315364, 0.397346
6.315398, 0.397347
6.315433, 0.397348
6.315468, 0.397350
6.315503, 0.397351
6.315539, 0.397352
6.315575, 0.397353
6.315611, 0.397354
6.315647, 0.397355
6.315684, 0.397356
6.315720, 0.397358
6.315757, 0.397359
6.315795, 0.397360
6.315832, 0.397361
6.315870, 0.397362
6.315908, 0.397363
6.315946, 0.397365
6.315985, 0.397366
6.316024, 0.397367
6.316063, 0.397368
6.316102, 0.397370
6.316141, 0.397371
6.316181, 0.397372
6.316221, 0.397373
6.316261, 0.397375
6.316302, 0.397376
6.316343, 0.397377
6.316384, 0.397378
6.316425, 0.397380
6.316466, 0.397381
6.316508, 0.397382
6.316550, 0.397384
6.316592, 0.397385
6.316635, 0.397386
6.316678, 0.397388
6.316721, 0.397389
6.316764, 0.397390
6.316807, 0.397392
6.316851, 0.397393
6.316895, 0.397394
6.316939, 0.397396
6.316984, 0.397397
6.317028, 0.397399
6.317073, 0.397400
6.317119, 0.397402
6.317164, 0.397403
6.317210, 0.397404
6.317256, 0.397406
6.317302, 0.397407
6.317349, 0.397409
6.317395, 0.397410
6.317442, 0.397412
6.317489, 0.397413
6.317537, 0.397415
6.317585, 0.397416
6.317633, 0.397418
6.317681, 0.397419
6.317729, 0.397421
6.317778, 0.397422
6.317827, 0.397424
6.317876, 0.397425
6.317925, 0.397427
6.317975, 0.397428
6.318025, 0.397430
6.318075, 0.397432
6.318126, 0.397433
6.318176, 0.397435
6.318227, 0.397436
6.318278, 0.397438
6.318330, 0.397440
6.318381, 0.397441
6.318433, 0.397443
6.318486, 0.397445
6.318538, 0.397446
6.318591, 0.397448
6.318644, 0.397449
6.318697, 0.397451
6.318750, 0.397453
6.318804, 0.397455
6.318858, 0.397456
6.318912, 0.397458
6.318966, 0.397460
6.319021, 0.397461
6.319076, 0.397463
6.319131, 0.397465
6.319186, 0.397467
6.319242, 0.397468
6.319298, 0.397470
6.319354, 0.397472
6.319410, 0.397474
6.319467, 0.397475
6.319524, 0.397477
6.319581, 0.397479
6.319638, 0.397481
6.319696, 0.397483
6.319754, 0.397484
6.319812, 0.397486
6.319870, 0.397488
6.319929, 0.397490
6.319987, 0.397492
6.320046, 0.397494
6.320106, 0.397495
6.320165, 0.397497
6.320225, 0.397499
6.320285, 0.397501
6.320346, 0.397503
6.320406, 0.397505
6.320467, 0.397507
6.320528, 0.397509
6.320589, 0.397511
6.320651, 0.397513
6.320713, 0.397515
6.320775, 0.397517
6.320837, 0.397518
6.320900, 0.397520
6.320962, 0.397522
6.321025, 0.397524
6.321089, 0.397526
6.321152, 0.397528
6.321216, 0.397530
6.321280, 0.397532
6.321344, 0.397534
6.321409, 0.397536
6.321474, 0.397538
6.321539, 0.397541
6.321604, 0.397543
6.321669, 0.397545
6.321735, 0.397547
6.321801, 0.397549
6.321867, 0.397551
6.321934, 0.397553
6.322000, 0.397555
6.322067, 0.397557
6.322135, 0.397559
6.322202, 0.397561
6.322270, 0.397564
6.322338, 0.397566
6.322406, 0.397568
6.322475, 0.397570
6.322543, 0.397572
6.322612, 0.397574
6.322681, 0.397576
6.322751, 0.397579
6.322821, 0.397581
6.322890, 0.397583
6.322961, 0.397585
6.323031, 0.397587
6.323102, 0.397590
6.323173, 0.397592
6.323244, 0.397594
6.323315, 0.397596
6.323387, 0.397599
6.323459, 0.397601
6.323531, 0.397603
6.323603, 0.397605
6.323676, 0.397608
6.323749, 0.397610
6.323822, 0.397612
6.323896, 0.397615
6.323969, 0.397617
6.324043, 0.397619
6.324117, 0.397622
6.324192, 0.397624
6.324266, 0.397626
6.324341, 0.397629
6.324416, 0.397631
6.324491, 0.397633
6.324567, 0.397636
6.324643, 0.397638
6.324719, 0.397641
6.324795, 0.397643
6.324872, 0.397645
6.324949, 0.397648
