rx, ry, vx, vy
8.900049, -8.779464, 1.133790, -1.380678
1.764197, 3.782605, -0.449577, 0.970852
9.144208, 5.774732, 0.809452, 0.722294
10.728371, -9.464360, 0.342299, 0.682609
-7.127778, -8.466031, -2.003882, 0.616056
1.608372, 0.142541, 1.188906, -1.362766
10.550317, 1.898555, 0.115974, -1.072026
-9.076389, 13.077685, -1.804678, 0.184111
-13.240753, 2.076976, -0.307841, 0.236804
7.587442, -3.148036, 0.240294, 1.720222
-5.921889, -12.222174, -0.955078, 0.158344
-11.779492, -8.195442, 0.340869, 0.797459
-5.518272, -6.554009, -0.769544, -1.393467
-8.217100, 1.685631, 0.840674, -0.263994
10.419290, -3.643834, -0.951959, -1.455985
0.887682, -12.904655, -0.303279, -2.600797
-10.368327, -6.175677, 0.082200, 0.255222
9.943419, -8.720256, -0.096803, -0.026261
-1.400491, 7.678840, 1.148127, -0.923680
-4.561171, 0.764812, 0.174656, 0.655910
12.283720, -3.577760, 0.196467, 0.974778
-4.219936, -3.520136, 0.537638, 0.605432
-11.633752, 6.798496, 0.072714, -0.319061
-7.066910, -4.023931, 0.802626, 0.207476
0.589895, 13.057232, 0.684671, 1.500443
6.834925, 8.020219, -0.077148, 0.467218
4.809637, -5.476513, 0.093471, 0.493907
-2.824162, -4.800632, -0.935285, 0.382484
13.034432, -5.078893, 0.427178, -1.409777
12.354532, -3.283924, 0.645233, 1.224719
11.140960, -6.563189, -0.610985, -0.749025
-11.631768, -4.066673, 0.411703, -1.618054
6.234728, 7.101350, 0.853700, 2.267862
-0.154936, -0.862178, -1.908930, 0.419800
-6.564990, 8.948564, -0.350933, 0.202178
12.450016, -9.067167, 1.526211, 0.731381
4.165831, -10.889192, -0.090537, -1.927524
-13.765697, 12.092270, -0.496728, 0.775975
-12.893233, 10.774399, -0.735680, -1.489181
0.663248, 12.692169, 0.180011, 0.738741
3.574224, -10.502682, 0.820394, 0.843560
7.080896, -9.895916, -0.527772, 0.344589
4.668888, 4.688490, -0.265178, -0.338199
-2.990516, -12.664900, 0.146299, -0.864393
5.079536, -1.717487, 0.276944, 1.293588
-12.596795, -9.290266, 0.795223, 1.214879
-0.636396, 5.437000, 0.272771, -0.538126
10.566106, 9.232327, -0.777963, -1.196214
8.756399, -8.482230, -0.675179, -1.721259
-12.506611, 7.487017, 0.259148, -0.814067
1.757327, -12.919593, 1.333364, 0.587568
-13.074182, 1.565977, -0.599228, -0.371647
9.430638, 0.276678, -2.138143, 0.704939
6.342358, -13.270574, 0.062899, -0.957962
-6.094730, 7.472271, 0.191473, -0.858044
5.075269, 5.565947, -0.451624, -0.676666
2.761988, -8.978353, 0.071615, -0.061521
-9.083030, 0.639987, -0.446134, 0.355376
-13.290613, -13.891031, -0.745452, 0.774001
13.215285, -12.943918, -0.305087, 0.150210
12.231328, 1.140571, -0.815009, 0.254056
-8.193578, 9.681468, 0.058316, -1.431964
4.733079, 10.276844, 1.957274, 0.608072
11.470788, -13.413071, 0.241707, -0.451339
-4.790412, 10.679100, -0.050150, -0.577071
9.179052, 1.681781, -0.322036, 1.006828
-7.317627, -1.482970, 0.286572, 0.026464
-4.356175, -10.879888, 1.070673, 1.456384
10.953537, 10.085685, 1.098366, 0.078672
-11.713194, 4.549455, -0.665699, 0.977645
3.003657, -6.831301, -0.075868, -0.694624
10.927322, 11.405487, 0.317229, 0.515770
1.838700, -10.475188, -0.287886, 0.340539
-3.527423, -4.052383, 0.029922, 1.192829
0.769504, 10.177481, 0.200240, -0.219798
-0.056086, 1.914820, -0.980278, -0.136713
8.053413, -0.166395, 0.699160, -1.254626
3.511240, 3.776318, -0.254257, -0.133196
-4.968236, 3.706648, 0.711042, 0.020164
-6.398981, -5.068914, -0.517689, 0.551297
