Ta, Tb
0.937189, 1.156540
0.937270, 1.156540
0.937351, 1.156540
0.937433, 1.156540
0.937515, 1.156540
0.937597, 1.156540
0.937680, 1.156540
0.937764, 1.156540
0.937848, 1.156540
0.937932, 1.156540
0.938017, 1.156540
0.938103, 1.156540
0.938188, 1.156540
0.938274, 1.156540
0.938361, 1.156540
0.938448, 1.156540
0.938535, 1.156540
0.938623, 1.156540
0.938711, 1.156540
0.938800, 1.156540
0.938889, 1.156540
0.938978, 1.156540
0.939068, 1.156540
0.939157, 1.156540
0.939248, 1.156540
0.939338, 1.156540
0.939429, 1.156540
0.939520, 1.156540
0.939612, 1.156540
0.939704, 1.156540
0.939796, 1.156540
0.939888, 1.156540
0.939980, 1.156540
0.940073, 1.156540
0.940166, 1.156540
0.940258, 1.156540
0.940352, 1.156540
0.940445, 1.156540
0.940538, 1.156540
0.940631, 1.156540
0.940725, 1.156540
0.940818, 1.156540
0.940912, 1.156540
0.941005, 1.156540
0.941099, 1.156540
0.941192, 1.156540
0.941285, 1.156540
0.941378, 1.156540
0.941471, 1.156540
0.941564, 1.156540
0.941656, 1.156540
0.941748, 1.156540
0.941840, 1.156540
0.941932, 1.156540
0.942023, 1.156540
0.942114, 1.156540
0.942204, 1.156540
0.942294, 1.156540
0.942383, 1.156540
0.942471, 1.156540
0.942559, 1.156540
0.942647, 1.156540
0.942733, 1.156540
0.942819, 1.156540
0.942903, 1.156540
0.942987, 1.156540
0.943070, 1.156540
0.943152, 1.156540
0.943232, 1.156540
0.943312, 1.156540
0.943390, 1.156540
0.943467, 1.156540
0.943543, 1.156540
0.943617, 1.156540
0.943689, 1.156540
0.943760, 1.156540
0.943829, 1.156540
0.943897, 1.156540
0.943962, 1.156540
0.944026, 1.156540
0.944087, 1.156540
0.944147, 1.156540
0.944204, 1.156540
0.944258, 1.156540
0.944311, 1.156540
0.944361, 1.156540
0.944408, 1.156540
0.944452, 1.156540
0.944494, 1.156540
0.944532, 1.156540
0.944568, 1.156540
0.944600, 1.156540
0.944629, 1.156540
0.944654, 1.156540
0.944676, 1.156540
0.944694, 1.156540
0.944708, 1.156540
0.944719, 1.156540
0.944725, 1.156540
0.944727, 1.156540
0.944725, 1.156540
0.944718, 1.156540
0.944706, 1.156540
0.944690, 1.156540
0.944669, 1.156540
0.944643, 1.156540
0.944611, 1.156540
0.944575, 1.156540
0.944532, 1.156540
0.944485, 1.156540
0.944431, 1.156540
0.944372, 1.156540
0.944306, 1.156540
0.944234, 1.156540
0.944156, 1.156540
0.944072, 1.156540
0.943981, 1.156540
0.943884, 1.156540
0.943779, 1.156540
0.943668, 1.156540
0.943550, 1.156540
0.943424, 1.156540
0.943292, 1.156540
0.943152, 1.156540
