State of system at t = 0.000000
------------------------
rx, ry, vx, vy
0.000000, 0.000000, 2.510231, -7.414739
-13.144911, -1.088378, -0.442100, -0.892513
-9.725684, -6.393282, 5.919807, -1.460555
10.967701, 1.815596, 0.397299, 3.941892
-8.188814, 13.150304, -2.397008, 3.408958
9.059203, 0.255278, 4.046246, 2.734115
13.384347, -6.613900, 1.063491, 2.352856
-4.264526, 10.851668, 1.123201, -0.934030
4.301075, -0.877527, -1.168215, 2.918050
-8.676960, -9.441954, 2.168607, 1.786520
-12.430946, 9.310408, -0.800961, 0.224487
-8.972132, 8.819114, 2.970756, -0.531009
-9.203095, 7.522513, -8.375721, 3.826098
-13.285121, -7.421957, 1.351350, 0.399742
-1.962260, 5.433298, -2.785024, 0.007751
-0.967024, -5.121791, -3.125859, 2.258735
-0.880345, 10.049503, -0.496771, -0.542057
5.907228, -10.236906, -0.321400, -1.626681
3.235494, 8.941350, -5.045226, -3.924503
4.709070, -4.985615, 1.083868, 0.591146
13.900514, 3.390070, 5.123166, -1.658736
-11.728347, -8.710323, 8.560780, -5.425621
-13.869116, 1.831101, -2.286792, -1.774641
1.244693, 12.649788, -3.687773, -1.548458
6.571840, 8.691762, -4.803527, -5.599863
3.931225, -6.880050, -0.741003, -3.146022
-1.276166, 2.738617, -7.543371, -0.712658
-1.011684, 6.473003, -3.925104, -1.764741
0.163479, 1.020244, -0.416318, 5.090469
-3.957104, -6.098619, -1.674147, 1.995679
-11.123432, -6.348770, 4.386873, -1.073165
-1.741037, -6.185842, -0.775394, 5.543665
7.974233, -1.089699, 1.595400, 0.818920
-7.982142, -0.172298, 0.209644, -0.839335
-6.034723, 2.127236, 1.072785, -0.000979
13.907947, -7.785476, 2.200952, 0.096098
-8.140122, -11.521800, 4.038712, -0.652031
-2.851523, -4.662178, -1.660682, 0.541267
-13.522506, -12.391140, 2.048242, 4.117603
-9.336898, 0.111746, 0.600988, -1.131712
0.306959, 3.234971, 0.188583, -2.179498
5.231664, -2.610071, 1.111373, -0.417485
7.105587, -2.342963, 0.448977, 0.994798
-10.968183, -1.739239, 1.004997, 0.569868
-10.175027, 6.194341, 0.325419, -0.511542
-0.498574, -1.247770, 0.447535, 0.127138
-14.128450, -3.893535, 0.817970, -0.929066
7.302864, -4.573818, 1.138147, 0.979846
-4.698325, 1.583410, 0.609012, -0.721264
4.043172, 3.108085, 0.274668, -0.368297
9.063138, -4.987571, 0.477765, 1.036656
6.173973, 2.628906, -1.286712, -0.483868
10.697530, 12.233988, 0.472978, -1.120043
-8.594100, -10.473522, -1.601361, 0.173154
9.455005, -3.854340, 1.675914, 1.267548
-7.136572, 12.707003, -0.549059, -0.477137
-3.731967, -8.214369, -1.085646, 0.708446
5.098849, -6.644941, 0.463276, 0.484431
9.164034, 3.616733, -1.507346, -0.261304
2.864905, -7.924045, -0.651546, 0.444302
1.491353, 6.378526, -1.593496, 0.111294
10.195769, -13.811352, -1.039182, -0.975471
-5.339763, 6.669358, 0.820504, 1.366389
-0.724588, -12.370401, 1.731272, 1.043254
-8.529994, -5.340765, -0.619952, -0.909223
10.449254, 7.110269, 0.667909, -0.305115
8.748925, -11.001086, 0.961652, -1.206574
-9.372792, 9.978095, -0.186817, 0.691131
8.519860, 7.347013, -1.522918, 0.116862
5.845659, -4.006716, -0.489261, 0.006166
-3.325583, 7.499443, 0.560298, 0.415229
-10.536565, -7.946277, -1.449191, -0.126685
-5.177148, -10.120201, 0.295824, 0.469312
1.947395, -12.037006, -2.877495, 1.269661
1.197739, -9.297700, 1.190305, 0.550791
-0.652776, -8.072862, -0.069043, -0.526878
-4.677242, 5.336068, -0.387069, 0.725301
4.969050, -9.128135, 1.239874, -1.336367
13.681929, 9.197004, 1.777660, -0.555132
1.911847, -10.658150, -1.785816, -0.140630
