Ra, Rb
0.000000, 0.000000
0.003748, 0.009680
0.007496, 0.013689
0.011244, 0.016766
0.014991, 0.019359
0.018739, 0.021644
0.022487, 0.023710
0.026235, 0.025610
0.029983, 0.027378
0.033731, 0.029039
0.037478, 0.030610
0.041226, 0.032104
0.044974, 0.033531
0.048722, 0.034901
0.052470, 0.036218
0.056218, 0.037489
0.059965, 0.038719
0.063713, 0.039910
0.067461, 0.041067
0.071209, 0.042193
0.074957, 0.043289
0.078705, 0.044358
0.082452, 0.045402
0.086200, 0.046422
0.089948, 0.047420
0.093696, 0.048398
0.097444, 0.049357
0.101191, 0.050297
0.104939, 0.051220
0.108687, 0.052127
0.112435, 0.053018
0.116183, 0.053894
0.119930, 0.054756
0.123678, 0.055605
0.127426, 0.056442
0.131174, 0.057266
0.134922, 0.058078
0.138669, 0.058879
0.142417, 0.059669
0.146165, 0.060449
0.149913, 0.061219
0.153661, 0.061980
0.157408, 0.062731
0.161156, 0.063474
0.164904, 0.064207
0.168652, 0.064933
0.172400, 0.065651
0.176147, 0.066360
0.179895, 0.067063
0.183643, 0.067757
0.187391, 0.068445
0.191139, 0.069126
0.194886, 0.069801
0.198634, 0.070469
0.202382, 0.071131
0.206130, 0.071786
0.209878, 0.072436
0.213625, 0.073080
0.217373, 0.073718
0.221121, 0.074351
0.224869, 0.074978
0.228617, 0.075600
0.232364, 0.076218
0.236112, 0.076830
0.239860, 0.077437
0.243608, 0.078040
0.247356, 0.078638
0.251104, 0.079231
0.254851, 0.079820
0.258599, 0.080405
0.262347, 0.080986
0.266095, 0.081562
0.269843, 0.082134
0.273590, 0.082703
0.277338, 0.083267
0.281086, 0.083828
0.284834, 0.084385
0.288582, 0.084938
0.292330, 0.085488
0.296077, 0.086034
0.299825, 0.086577
0.303573, 0.087117
0.307321, 0.087653
0.311069, 0.088186
0.314817, 0.088715
0.318564, 0.089242
0.322312, 0.089765
0.326060, 0.090286
0.329808, 0.090803
0.333556, 0.091318
0.337304, 0.091829
0.341052, 0.092338
0.344799, 0.092844
0.348547, 0.093347
0.352295, 0.093848
0.356043, 0.094346
0.359791, 0.094841
0.363539, 0.095333
0.367287, 0.095824
0.371035, 0.096311
0.374782, 0.096796
0.378530, 0.097279
0.382278, 0.097760
0.386026, 0.098238
0.389774, 0.098713
0.393522, 0.099187
0.397270, 0.099658
0.401018, 0.100127
0.404766, 0.100594
0.408514, 0.101059
0.412262, 0.101521
0.416010, 0.101982
0.419758, 0.102440
0.423505, 0.102896
0.427253, 0.103351
0.431001, 0.103803
0.434749, 0.104253
0.438497, 0.104702
0.442245, 0.105148
0.445993, 0.105593
0.449741, 0.106036
0.453489, 0.106476
0.457237, 0.106916
0.460985, 0.107353
0.464733, 0.107788
0.468481, 0.108222
0.472229, 0.108654
0.475977, 0.109085
0.479726, 0.109513
0.483474, 0.109940
0.487222, 0.110365
0.490970, 0.110789
0.494718, 0.111211
0.498466, 0.111632
0.502214, 0.112051
0.505962, 0.112468
0.509710, 0.112884
0.513458, 0.113298
0.517206, 0.113711
0.520955, 0.114122
0.524703, 0.114532
0.528451, 0.114940
0.532199, 0.115347
0.535947, 0.115753
0.539695, 0.116157
0.543444, 0.116559
0.547192, 0.116961
0.550940, 0.117361
0.554688, 0.117759
0.558436, 0.118156
0.562185, 0.118552
0.565933, 0.118947
0.569681, 0.119340
0.573429, 0.119732
0.577178, 0.120123
0.580926, 0.120512
0.584674, 0.120900
0.588423, 0.121287
0.592171, 0.121673
0.595919, 0.122057
0.599668, 0.122441
0.603416, 0.122823
0.607164, 0.123204
0.610913, 0.123583
0.614661, 0.123962
0.618410, 0.124339
0.622158, 0.124715
0.625907, 0.125091
0.629655, 0.125465
0.633403, 0.125838
0.637152, 0.126209
0.640900, 0.126580
0.644649, 0.126950
0.648397, 0.127318
0.652146, 0.127686
0.655895, 0.128052
0.659643, 0.128418
0.663392, 0.128782
0.667140, 0.129145
0.670889, 0.129508
0.674638, 0.129869
0.678386, 0.130229
0.682135, 0.130589
0.685884, 0.130947
0.689632, 0.131304
0.693381, 0.131661
0.697130, 0.132016
0.700879, 0.132371
0.704627, 0.132724
0.708376, 0.133077
0.712125, 0.133428
0.715874, 0.133779
0.719623, 0.134129
0.723371, 0.134478
0.727120, 0.134826
0.730869, 0.135173
0.734618, 0.135519
0.738367, 0.135865
0.742116, 0.136209
0.745865, 0.136553
0.749614, 0.136895
0.753363, 0.137237
0.757112, 0.137578
0.760861, 0.137919
0.764610, 0.138258
0.768360, 0.138596
0.772109, 0.138934
0.775858, 0.139271
0.779607, 0.139607
0.783356, 0.139943
0.787106, 0.140277
0.790855, 0.140611
0.794604, 0.140944
0.798353, 0.141276
0.802103, 0.141607
0.805852, 0.141938
0.809602, 0.142267
0.813351, 0.142597
0.817100, 0.142925
0.820850, 0.143252
0.824599, 0.143579
0.828349, 0.143905
0.832099, 0.144231
0.835848, 0.144555
0.839598, 0.144879
0.843347, 0.145202
0.847097, 0.145525
0.850847, 0.145846
0.854597, 0.146167
0.858346, 0.146488
0.862096, 0.146807
0.865846, 0.147126
0.869596, 0.147445
0.873346, 0.147762
0.877096, 0.148079
0.880846, 0.148395
0.884596, 0.148711
0.888346, 0.149026
0.892096, 0.149340
0.895846, 0.149653
0.899596, 0.149966
0.903346, 0.150279
0.907097, 0.150590
0.910847, 0.150901
0.914597, 0.151212
0.918347, 0.151521
0.922098, 0.151830
0.925848, 0.152139
0.929599, 0.152447
0.933349, 0.152754
0.937100, 0.153060
0.940850, 0.153366
0.944601, 0.153672
0.948352, 0.153977
0.952102, 0.154281
0.955853, 0.154584
0.959604, 0.154887
0.963355, 0.155190
0.967105, 0.155492
0.970856, 0.155793
0.974607, 0.156093
0.978358, 0.156394
0.982109, 0.156693
0.985860, 0.156992
0.989611, 0.157290
0.993362, 0.157588
0.997114, 0.157886
1.000865, 0.158182
1.004616, 0.158478
1.008367, 0.158774
1.012119, 0.159069
1.015870, 0.159364
1.019622, 0.159658
1.023373, 0.159951
