rx, ry, vx, vy
-0.213292, -3.857944, -0.213292, -3.857944
-5.164293, 1.448387, 1.581194, 4.572723
-9.804848, -8.954536, -0.219388, -0.416674
-10.235263, -10.712700, -4.393221, 1.433372
10.899238, 8.699214, 0.282145, 1.089147
14.119988, -8.871802, 0.636807, -5.322488
-13.316249, -0.576982, -0.640057, 4.048944
10.782462, 10.878414, 1.955701, 1.673727
10.147094, 7.824827, 1.596093, -1.749457
7.624955, 2.917774, 1.543104, -5.873305
13.563257, 20.655312, 0.948359, 6.747650
-10.574349, 2.546521, -2.221041, 1.383209
-1.450914, 14.270768, 0.363942, 7.447901
1.087655, -13.191001, 5.339092, -1.491382
-0.101409, -9.536514, 2.219654, -1.417172
10.742048, -6.461249, 3.378655, -2.230015
1.235850, -12.847528, -0.196857, 0.933692
10.320649, -14.779211, -1.587238, -3.316940
-2.283157, -7.032624, -1.059876, 2.335967
-14.317511, 0.155494, -4.099326, -1.205695
0.315759, 8.146915, 0.648207, -0.582710
-9.038467, 18.378128, 2.493842, 5.520624
-14.574660, -3.325293, -4.202461, 2.447561
11.707200, -14.870141, -1.246413, -3.300439
-14.137217, 9.456225, -1.570359, -3.470924
-8.544062, 18.468236, 0.287690, 4.779523
-8.221847, -4.832745, 0.821922, 0.980407
-6.335988, 10.676163, -2.300255, 5.180589
-5.405239, 12.615379, 3.515414, 2.327799
6.279973, -1.323521, -1.018893, -1.416672
12.713036, -3.943924, 0.451550, -3.734716
-4.881908, 3.375863, -1.159888, 0.259496
14.828592, -9.194832, 2.589187, -4.724089
5.194379, 13.160687, 0.649973, 2.143855
-7.042708, -0.111926, 1.488906, -4.011585
-11.644479, -3.317675, -4.050154, 2.636109
6.384137, -17.636575, -6.155437, -4.280585
0.784129, -13.558537, -1.628967, -7.449146
1.429566, -10.469939, 7.399422, -0.606862
-9.791400, 16.496253, -2.227734, 2.516504
11.376187, 14.441474, 4.181822, 1.225113
-2.819077, 3.960097, 2.584989, -2.351966
-4.676859, 2.527684, -3.575445, 0.225938
-4.110063, -10.263656, 0.487863, 3.670974
-6.392387, -6.782380, -0.973689, 1.449907
8.474738, -6.162778, 2.223213, 2.446771
3.250026, 2.579660, -1.978917, -1.088174
-14.819043, -7.947450, -1.072545, 1.720248
-4.617293, -12.671526, -3.521132, 1.403898
14.796922, 7.604697, 3.808640, 2.349039
10.636892, 1.783990, 0.879227, -0.806141
3.511811, 5.950299, -2.194606, 0.155408
0.198865, 6.554506, 1.624572, -4.343944
-6.105631, 2.459396, 0.073039, 1.227108
5.997731, -8.433483, 3.430023, 1.664134
7.018401, -12.264093, -1.099526, -0.442087
-9.586923, 7.429225, 1.974604, 2.866078
-8.420574, 8.941452, 3.445167, 0.226050
-12.432574, 4.312882, -1.114324, 1.778007
-6.735751, -4.796630, -0.817347, -2.626094
-14.461473, -0.750576, -1.903232, -0.785166
-13.367063, -12.483326, -0.445252, 0.845349
6.881772, 7.900998, 0.690488, -4.565703
-10.126418, -13.612421, -0.031444, -0.650283
6.450992, 11.779002, 3.277293, 1.771205
3.805055, 2.626081, 0.929446, 1.752184
-7.801417, -1.295651, -0.413938, -3.034150
4.662119, 8.374277, -2.355285, 0.439330
-10.927825, -14.984996, -2.611825, -2.218813
0.168436, -9.083899, 1.159397, 2.432249
-3.570779, -13.983759, -2.043704, -1.869097
1.028192, -1.160092, -2.604147, -3.364809
8.269821, 4.040578, -3.145113, 2.793249
5.205465, -2.351309, -5.068888, 0.383942
-5.146450, 4.533842, 1.672878, -4.896918
9.035576, 15.850783, 0.841976, 2.296177
9.158596, -5.495410, 2.486946, -0.237838
17.147407, -10.231265, 4.651321, -1.525476
-0.378405, -9.724054, -3.858060, 1.390479
9.337206, -9.251345, 0.405514, -1.706175
