Ta, Tb
9.944545, 10.330103
9.944555, 10.329769
9.944561, 10.331217
9.944567, 10.334423
9.944573, 10.339329
9.944579, 10.345850
9.944585, 10.353873
9.944591, 10.363266
9.944597, 10.373877
9.944602, 10.385545
9.944608, 10.398099
9.944614, 10.411368
9.944620, 10.425179
9.944626, 10.439368
9.944632, 10.453779
9.944638, 10.468268
9.944643, 10.482703
9.944649, 10.496968
9.944655, 10.510960
9.944661, 10.524593
9.944667, 10.537796
9.944673, 10.550511
9.944679, 10.562693
9.944685, 10.574311
9.944691, 10.585341
9.944697, 10.595773
9.944703, 10.605601
9.944709, 10.614830
9.944715, 10.623467
9.944721, 10.631527
9.944727, 10.639026
9.944734, 10.645985
9.944740, 10.652426
9.944746, 10.658373
9.944753, 10.663850
9.944759, 10.668884
9.944766, 10.673500
9.944772, 10.677722
9.944779, 10.681575
9.944786, 10.685084
9.944793, 10.688272
9.944799, 10.691160
9.944806, 10.693771
9.944814, 10.696125
9.944821, 10.698240
9.944828, 10.700135
9.944835, 10.701827
9.944843, 10.703331
9.944851, 10.704663
9.944858, 10.705837
9.944866, 10.706865
9.944874, 10.707760
9.944882, 10.708533
9.944891, 10.709195
9.944899, 10.709754
9.944907, 10.710220
9.944916, 10.710601
9.944925, 10.710904
9.944934, 10.711138
9.944943, 10.711307
9.944952, 10.711419
9.944962, 10.711478
9.944971, 10.711490
9.944981, 10.711459
9.944991, 10.711390
9.945001, 10.711286
9.945012, 10.711151
9.945022, 10.710989
9.945033, 10.710802
9.945044, 10.710592
9.945055, 10.710364
9.945067, 10.710118
9.945078, 10.709858
9.945090, 10.709584
9.945102, 10.709299
9.945114, 10.709005
9.945127, 10.708702
9.945140, 10.708392
9.945153, 10.708077
9.945166, 10.707757
9.945179, 10.707434
9.945193, 10.707108
9.945207, 10.706780
9.945222, 10.706451
9.945236, 10.706122
9.945251, 10.705792
9.945266, 10.705464
9.945282, 10.705137
9.945298, 10.704812
9.945314, 10.704488
9.945330, 10.704167
9.945347, 10.703849
9.945364, 10.703534
9.945381, 10.703222
9.945399, 10.702914
9.945417, 10.702610
9.945435, 10.702309
9.945454, 10.702012
9.945473, 10.701719
9.945492, 10.701431
9.945512, 10.701146
9.945532, 10.700867
9.945553, 10.700591
9.945574, 10.700320
9.945595, 10.700053
9.945617, 10.699791
9.945639, 10.699534
9.945662, 10.699281
9.945685, 10.699032
9.945708, 10.698788
9.945732, 10.698548
9.945756, 10.698313
9.945781, 10.698082
9.945806, 10.697855
9.945832, 10.697633
9.945858, 10.697415
9.945885, 10.697201
9.945912, 10.696992
9.945939, 10.696786
9.945967, 10.696585
9.945996, 10.696387
9.946025, 10.696194
9.946055, 10.696004
9.946085, 10.695818
9.946115, 10.695636
9.946147, 10.695458
9.946178, 10.695283
9.946211, 10.695112
9.946243, 10.694944
9.946277, 10.694780
9.946311, 10.694619
9.946346, 10.694462
9.946381, 10.694307
9.946417, 10.694156
9.946453, 10.694008
9.946490, 10.693863
9.946528, 10.693722
9.946566, 10.693583
9.946605, 10.693447
9.946645, 10.693313
9.946685, 10.693183
9.946726, 10.693055
9.946768, 10.692930
9.946811, 10.692808
9.946854, 10.692688
9.946898, 10.692570
9.946942, 10.692455
9.946987, 10.692343
9.947034, 10.692233
9.947080, 10.692125
9.947128, 10.692019
9.947177, 10.691916
9.947226, 10.691814
9.947276, 10.691715
9.947327, 10.691618
9.947378, 10.691523
9.947431, 10.691430
9.947484, 10.691338
9.947539, 10.691249
9.947594, 10.691161
9.947650, 10.691076
9.947707, 10.690992
9.947765, 10.690909
9.947824, 10.690829
9.947883, 10.690750
9.947944, 10.690673
9.948006, 10.690597
9.948069, 10.690523
9.948132, 10.690450
9.948197, 10.690379
9.948263, 10.690309
9.948329, 10.690241
9.948397, 10.690174
9.948466, 10.690108
9.948536, 10.690044
9.948607, 10.689981
9.948680, 10.689920
9.948753, 10.689859
9.948828, 10.689800
9.948903, 10.689742
9.948980, 10.689685
9.949058, 10.689629
9.949138, 10.689574
9.949218, 10.689521
9.949300, 10.689468
9.949383, 10.689417
9.949468, 10.689366
9.949554, 10.689317
9.949641, 10.689268
9.949729, 10.689221
9.949819, 10.689174
9.949910, 10.689128
9.950002, 10.689084
9.950096, 10.689040
9.950192, 10.688997
9.950289, 10.688954
9.950387, 10.688913
9.950487, 10.688872
9.950588, 10.688832
9.950691, 10.688793
9.950796, 10.688755
9.950902, 10.688717
9.951009, 10.688680
9.951118, 10.688644
9.951229, 10.688609
9.951342, 10.688574
9.951456, 10.688540
9.951572, 10.688506
9.951690, 10.688473
9.951809, 10.688441
9.951930, 10.688409
9.952053, 10.688378
9.952178, 10.688348
9.952305, 10.688318
9.952433, 10.688288
9.952563, 10.688260
9.952696, 10.688231
9.952830, 10.688203
9.952966, 10.688176
9.953104, 10.688149
9.953244, 10.688123
9.953385, 10.688097
9.953529, 10.688072
9.953675, 10.688047
9.953823, 10.688023
9.953973, 10.687999
9.954125, 10.687975
9.954280, 10.687952
9.954436, 10.687929
9.954594, 10.687907
9.954755, 10.687885
9.954917, 10.687864
9.955082, 10.687843
9.955249, 10.687822
9.955418, 10.687801
9.955589, 10.687781
9.955763, 10.687762
9.955938, 10.687742
9.956116, 10.687723
9.956296, 10.687705
9.956478, 10.687687
9.956662, 10.687669
9.956849, 10.687651
9.957037, 10.687633
9.957228, 10.687616
9.957421, 10.687600
9.957615, 10.687583
9.957812, 10.687567
9.958011, 10.687551
9.958212, 10.687535
9.958415, 10.687520
9.958620, 10.687505
9.958827, 10.687490
9.959035, 10.687475
9.959245, 10.687461
9.959457, 10.687447
9.959671, 10.687433
9.959886, 10.687419
9.960102, 10.687406
9.960320, 10.687393
9.960539, 10.687380
9.960760, 10.687367
9.960981, 10.687355
9.961203, 10.687342
9.961426, 10.687330
9.961649, 10.687318
9.961873, 10.687306
9.962097, 10.687295
9.962321, 10.687284
9.962545, 10.687272
9.962768, 10.687261
9.962991, 10.687251
9.963213, 10.687240
9.963433, 10.687230
9.963652, 10.687219
9.963868, 10.687209
9.964083, 10.687199
9.964295, 10.687189
9.964503, 10.687180
9.964709, 10.687170
9.964910, 10.687161
9.965106, 10.687152
9.965298, 10.687143
9.965484, 10.687134
9.965663, 10.687125
9.965836, 10.687117
9.966001, 10.687108
9.966157, 10.687100
9.966304, 10.687092
9.966441, 10.687084
9.966567, 10.687076
9.966682, 10.687068
9.966783, 10.687060
9.966871, 10.687052
9.966944, 10.687045
9.967001, 10.687038
9.967040, 10.687030
9.967060, 10.687023
9.967060, 10.687016
9.967037, 10.687009
9.966991, 10.687003
9.966919, 10.686996
9.966820, 10.686989
9.966692, 10.686983
9.966533, 10.686976
9.966341, 10.686970
9.966113, 10.686964
9.965848, 10.686958
9.965544, 10.686952
9.965197, 10.686946
9.964805, 10.686940
9.964366, 10.686934
9.963877, 10.686929
9.963335, 10.686923
9.962737, 10.686918
9.962081, 10.686912
9.961364, 10.686907
9.960582, 10.686902
9.959733, 10.686896
9.958813, 10.686891
9.957821, 10.686886
9.956752, 10.686881
9.955604, 10.686877
9.954375, 10.686872
9.953062, 10.686867
9.951663, 10.686862
9.950176, 10.686858
9.948599, 10.686853
9.946930, 10.686849
9.945170, 10.686844
9.943317, 10.686840
9.941371, 10.686836
9.939334, 10.686832
9.937206, 10.686827
9.934991, 10.686823
9.932690, 10.686819
9.930309, 10.686815
9.927852, 10.686811
9.925324, 10.686808
9.922734, 10.686804
9.920090, 10.686800
9.917400, 10.686796
9.914675, 10.686793
9.911928, 10.686789
9.909172, 10.686785
9.906419, 10.686782
9.903686, 10.686779
9.900988, 10.686775
9.898343, 10.686772
9.895767, 10.686768
9.893279, 10.686765
9.890897, 10.686762
9.888639, 10.686759
9.886523, 10.686756
9.884566, 10.686753
9.882786, 10.686750
9.881197, 10.686747
9.879815, 10.686744
9.878652, 10.686741
9.877718, 10.686738
9.877023, 10.686735
9.876573, 10.686732
9.876373, 10.686729
9.876425, 10.686727
9.876728, 10.686724
9.877280, 10.686721
9.878074, 10.686719
9.879103, 10.686716
9.880359, 10.686714
9.881827, 10.686711
9.883497, 10.686709
9.885352, 10.686706
9.887376, 10.686704
9.889553, 10.686701
9.891864, 10.686699
9.894292, 10.686697
9.896818, 10.686694
9.899425, 10.686692
9.902094, 10.686690
9.904808, 10.686688
9.907551, 10.686686
9.910307, 10.686683
9.913062, 10.686681
9.915801, 10.686679
9.918512, 10.686677
9.921185, 10.686675
9.923808, 10.686673
9.926373, 10.686671
9.928872, 10.686669
9.931299, 10.686667
9.933648, 10.686665
9.935914, 10.686663
9.938093, 10.686662
9.940184, 10.686660
