rx, ry, vx, vy
-0.887415, -3.626977, -0.126774, -0.518140
15.157098, -12.164135, 1.066028, -1.682068
0.106646, 20.590189, 1.020931, 1.374495
-1.754148, 3.035978, 1.099572, 0.352569
-3.850511, -15.184311, -0.446291, -0.162562
-13.457640, 6.393668, -0.500361, -0.511930
2.148320, -26.957408, 0.712030, -2.013772
-7.715214, -4.419951, -1.847359, 0.493130
1.074162, 12.976339, 0.033419, 0.985148
3.937729, -11.966888, -0.412248, -1.011539
-25.829641, 10.932543, -2.174916, 0.646655
7.260893, -4.267172, 0.459042, -0.150727
2.387352, 13.430808, -0.179105, 0.108938
-17.249391, -1.923262, -0.628971, 0.028516
-9.358998, 7.478206, -0.219808, 0.867298
7.294207, 12.967370, -0.648823, 0.330550
1.345491, 6.404571, 0.756243, 2.030712
11.577226, -9.836630, 1.575029, 0.092314
-1.319218, -16.899856, -0.283925, -1.524713
0.012914, -3.146883, 0.398565, -0.153738
-5.690037, 6.200903, 1.046227, 0.448972
17.259590, -3.683010, 1.225873, 0.968439
-10.847903, 8.595931, -1.586748, -0.170141
0.822509, -3.542801, -0.987584, -1.188999
-7.723363, -17.919287, -1.515048, -1.536301
-2.203228, 0.746990, -0.217600, 1.069572
1.622898, 3.176208, -1.061968, -0.074609
19.515351, 6.557477, 0.784386, 0.066124
10.938742, 13.553940, 0.374621, 0.028335
10.227494, -1.078331, 0.009057, -1.211542
5.147264, 8.436273, -1.111293, 0.708647
12.701296, 13.325469, 2.341554, 0.414515
-19.891686, 9.724824, -0.976857, -0.135797
-18.240052, -12.217105, -0.665426, -0.293669
16.718202, 10.741193, 0.601463, 1.363652
20.577454, 3.784461, 2.106408, -0.614649
-14.654999, 9.263765, -0.945415, 1.438397
11.394705, -10.818795, 0.441504, 0.157201
-1.329916, 4.155599, 0.396296, -0.257524
-1.012224, -18.483875, 0.088270, -0.761762
1.420609, 7.636084, -0.927559, -0.152779
3.340422, -15.192001, 1.450446, -0.484497
0.127850, 4.470842, 1.125946, -0.669009
-3.509909, -11.695866, -0.011961, -1.733805
10.898627, 11.654367, -0.168807, 1.455387
6.831958, -3.376774, 0.032798, -0.477934
-5.997860, -3.723934, -0.140944, -0.277424
9.232242, 3.174801, 1.651450, 0.517294
5.390864, -5.800637, -1.170489, 0.125264
9.605866, 6.657536, 1.129370, -0.665223
4.458070, -9.096663, 1.565935, -0.650576
-16.678426, -8.060270, -0.450318, -0.204895
11.131397, -1.707461, -0.239013, 0.483823
4.224703, 13.460651, -0.749109, 0.093311
9.901758, 2.574822, -0.473513, -0.179232
15.184880, -16.125423, 0.888476, -0.450561
11.716228, -0.368783, 0.634162, 0.236808
-11.255657, -1.363437, 0.013506, 0.313424
-18.015028, 12.007493, -0.693591, -0.177611
-4.504647, -2.320243, 0.599263, 0.755397
7.152460, 9.557627, 0.218585, 1.102081
-2.181088, -3.353740, -0.938510, 0.291825
2.216250, -7.023378, -0.348771, 0.359560
-2.184744, 5.478258, -0.712243, -0.799255
-2.440437, 1.382991, 0.322920, 0.868715
3.663400, 11.814873, -0.708302, 0.717984
5.540467, -5.342400, 0.294148, 0.671463
15.804777, -10.882443, 0.757151, -1.221831
9.783028, 12.246930, -0.054750, 0.384695
-2.509460, 4.640686, -0.543531, 0.334750
-18.527766, -16.586747, -0.730501, -1.712864
-16.707777, -14.527062, -0.786409, -0.286683
1.231923, 6.298475, -0.084416, 0.251185
-5.007599, -13.427554, 0.580217, -0.113792
1.875293, 6.277720, 0.595177, 1.468621
4.431176, -11.675265, -1.117434, -0.407366
-10.658216, 7.683993, 0.346471, 0.825381
9.264396, -8.037119, -0.498403, 0.312123
4.728489, -14.409756, -0.589853, -1.729571
-8.933709, -0.590916, -0.067595, 0.825814
